Munic-BR;Populaçăo;1.1_%R.Líquida_Total;2.1_D.Total_Saúde/Hab;2.2_%D.Pessoal/D.Total;2.3_%D.com_Medicamentos;2.4_%D.Serv.Terc/D.Total;2.5_%D.Invest/D.Total;R.Transf.SUS;D.R.Próprios;D.Total_Saúde;cod_municipio
110094 Cujubim;14887;3.74;279.52;63.29;4.85;9.23;8.41;1122603.49;3005979.18;4161166.02;110094
110009 Espigăo D'Oeste;28889;6.31;308.74;58.89;0.76;7.91;22.13;3271879.0;4920037.07;8919049.35;110009
110100 Governador Jorge Teixeira;11591;2.78;298.34;67.45;6.11;4.99;3.87;1345460.28;2101870.82;3458025.29;110100
110010 Guajará-Mirim;40760;4.43;409.45;66.83;2.81;10.59;1.03;7957539.33;8219115.54;16689151.0;110010
110110 Itapuă do Oeste;8230;4.19;370.68;62.11;0.37;6.24;3.45;890971.09;2290223.97;3050694.46;110110
110011 Jaru;53946;7.7;278.42;65.15;4.04;9.56;1.3;7256537.3;7535903.94;15019436.32;110011
110012 Ji-Paraná;111004;14.12;340.39;62.74;3.28;16.45;2.32;20057736.82;17923379.17;37784758.15;110012
110013 Machadinho D'Oeste;33162;4.76;232.05;67.32;3.45;7.68;1.55;4716399.28;3652228.93;7695356.49;110013
110120 Ministro Andreazza;10572;2.55;317.94;65.76;9.08;5.78;8.16;1412440.38;1720374.28;3361259.21;110120
110130 Mirante da Serra;12360;3.24;282.23;82.58;1.72;9.16;0.48;1912223.1;1626873.58;3488343.37;110130
110140 Monte Negro;12705;4.31;425.95;71.65;5.54;9.24;3.1;3700402.16;2254782.45;5411689.04;110140
110014 Nova Brasilândia D'Oeste;17691;3.17;347.76;65.43;1.81;6.0;2.14;2657484.76;3154884.62;6152163.39;110014
110033 Nova Mamoré;22341;4.88;244.46;67.93;3.38;7.9;0.21;2238238.08;3310503.76;5461530.95;110033
110143 Nova Uniăo;7946;3.31;311.38;61.56;3.64;9.08;9.88;889149.96;1361620.35;2474262.86;110143
110050 Novo Horizonte do Oeste;9719;3.78;297.24;73.09;4.27;6.66;1.39;1590020.94;1398852.1;2888914.93;110050
110015 Ouro Preto do Oeste;36725;9.65;306.59;80.67;8.99;4.13;3.68;5774500.09;4384231.15;11259460.01;110015
110145 Parecis;4808;3.53;398.84;64.52;8.09;6.9;3.26;400733.91;1550611.75;1917645.3;110145
110018 Pimenta Bueno;33982;10.3;324.92;69.25;8.6;9.99;0.07;4286925.78;6927427.48;11041526.09;110018
110146 Pimenteiras do Oeste;2411;0.91;769.32;71.56;3.54;4.12;1.59;323244.61;1553231.14;1854820.2;110146
110020 Porto Velho;383425;30.16;292.08;71.6;2.07;11.53;1.45;47908856.14;75967180.7;111991586.5;110020
110025 Presidente Médici;22519;6.87;343.98;68.45;6.95;6.1;3.77;4948985.36;3751608.88;7746104.58;110025
110147 Primavera de Rondônia;3766;1.79;513.69;64.53;6.07;6.57;3.28;799118.28;1177364.17;1934573.73;110147
110026 Rio Crespo;3290;2.49;527.86;76.82;5.13;3.04;1.65;297587.2;1404089.03;1736651.69;110026
110028 Rolim de Moura;50497;9.33;437.93;69.97;4.92;6.35;3.38;10641246.41;13523463.35;22113956.77;110028
110029 Santa Luzia D'Oeste;9349;6.03;333.55;64.18;10.94;7.66;2.11;1385780.55;1616244.85;3118338.31;110029
110148 Săo Felipe D'Oeste;6411;2.61;388.47;74.76;0.2;5.99;0.97;1043784.36;1573855.44;2490510.95;110148
110149 Săo Francisco do Guaporé;16486;3.05;393.21;52.32;3.72;17.74;11.97;2973176.82;2671897.64;6482464.14;110149
110032 Săo Miguel do Guaporé;23200;5.27;272.21;80.32;0.03;3.83;0.22;3844550.91;3434537.11;6315382.83;110032
110150 Seringueiras;12122;3.11;350.0;69.53;2.81;8.75;1.83;1816597.3;2577050.28;4242671.71;110150
110155 Teixeirópolis;5013;2.67;420.0;54.79;1.54;25.31;5.1;788204.97;1208413.19;2105477.14;110155
110160 Theobroma;10153;2.78;288.14;67.02;10.29;4.07;6.46;3831105.55;1831642.47;2925521.94;110160
110170 Urupá;13660;4.37;249.15;72.19;5.33;7.24;1.61;1396888.35;1803210.13;3403356.1;110170
110175 Vale do Anari;9103;1.95;236.84;71.64;3.15;7.11;0.15;1081361.59;1305012.97;2155941.01;110175
110180 Vale do Paraíso;8912;4.06;327.32;72.13;8.06;7.74;0.71;1283142.06;1398698.55;2917084.99;110180
110030 Vilhena;69866;13.24;487.52;57.85;5.37;3.15;1.94;15901642.84;17764863.81;34061146.84;110030
120001 Acrelândia;12243;2.48;266.67;64.32;6.6;11.29;1.57;1788068.87;1229422.14;3264786.24;120001
120005 Assis Brasil;5666;5.15;491.85;30.41;2.91;3.82;3.14;1859545.67;1191689.32;2786813.06;120005
120010 Brasiléia;20236;2.24;207.53;56.62;11.07;2.14;0.39;2116502.63;2121190.74;4199588.6;120010
120013 Bujari;6774;4.13;233.68;31.69;19.05;3.33;2.42;635500.97;882445.68;1582956.42;120013
120017 Capixaba;9289;3.19;186.65;54.64;3.02;2.91;0.25;901734.98;919430.59;1733783.44;120017
120020 Cruzeiro do Sul;77000;13.49;171.77;63.41;5.81;2.95;7.55;7571208.07;6244417.99;13226269.8;120020
120025 Epitaciolândia;14221;3.79;204.15;42.82;6.31;6.63;2.46;1561262.58;1311029.32;2903235.92;120025
120030 Feijó;32263;12.28;211.88;54.92;21.69;1.8;1.37;3329055.36;3476185.88;6835794.75;120030
120032 Jordăo;6539;2.87;309.34;27.77;6.2;2.55;1.97;1585542.36;893629.46;2022745.0;120032
120033 Mâncio Lima;14778;2.12;285.34;31.11;11.8;5.48;9.1;2556610.06;1401945.36;4216739.9;120033
120034 Manoel Urbano;7511;14.49;376.97;31.93;4.62;2.16;0.75;1785527.13;1115016.54;2831451.46;120034
120035 Marechal Thaumaturgo;14272;1.56;307.21;34.27;1.22;6.61;3.31;2115765.34;1478508.14;4384509.15;120035
120038 Plácido de Castro;18235;1.53;243.23;70.57;8.84;3.79;1.6;2298038.7;2221654.08;4435357.97;120038
120080 Porto Acre;14681;4.05;208.79;67.02;2.86;4.8;1.91;1497021.73;1383560.15;3065204.72;120080
120039 Porto Walter;8858;2.57;324.51;36.51;3.8;6.75;0.97;1962393.04;924540.37;2874534.25;120039
120040 Rio Branco;305951;13.85;184.64;57.68;12.96;15.92;3.76;20178637.87;40740811.49;56490686.0;120040
120042 Rodrigues Alves;13461;1.29;148.84;43.44;3.32;13.16;2.34;1244126.1;1022618.31;2003573.46;120042
120043 Santa Rosa do Purus;4361;0.8;755.29;43.91;25.4;1.59;2.38;1932795.75;1079531.79;3293801.87;120043
120050 Sena Madureira;36168;8.88;165.58;26.05;9.07;8.62;5.72;3905595.15;2962670.2;5988684.03;120050
120045 Senador Guiomard;19700;3.55;234.13;53.66;1.95;4.6;1.14;2191881.32;2230272.18;4612263.66;120045
120060 Tarauacá;33884;2.15;176.73;50.23;3.48;3.11;0.16;4277774.28;2393090.84;5988161.42;120060
120070 Xapuri;15078;3.35;183.12;42.4;4.07;8.56;0.44;1400841.62;1684574.76;2761101.9;120070
130002 Alvarăes;13565;1.14;277.27;58.99;0.26;1.7;0.01;1998167.74;1763046.83;3761214.57;130002
130006 Amaturá;8829;2.35;287.29;71.17;1.59;0.81;1.71;1396245.94;1418282.04;2536483.57;130006
130008 Anamă;8673;9.51;324.85;61.28;0.34;11.96;4.58;891080.17;1537195.55;2817423.36;130008
130010 Anori;14687;2.96;211.72;48.05;1.76;0.24;12.0;1325215.32;1883690.34;3109512.6;130010
130014 Apuí;18597;3.3;284.92;42.09;4.76;2.35;0.97;2037228.89;3181684.36;5298694.14;130014
130020 Atalaia do Norte;14715;1.75;354.03;69.16;4.67;8.84;0.0;3003068.1;2206492.42;5209560.52;130020
130030 Autazes;31771;4.17;251.44;58.11;0.19;2.68;1.27;5363622.9;3197120.27;7988653.73;130030
130040 Barcelos;25410;1.53;206.85;76.42;2.28;2.02;0.0;2485433.6;3024708.87;5256155.19;130040
130050 Barreirinha;28159;3.41;288.94;55.18;9.1;0.58;25.14;3709514.44;2515749.05;8136195.33;130050
130060 Benjamin Constant;31200;3.34;256.89;56.28;1.47;3.64;1.22;4419379.66;3556273.1;8015009.91;130060
130063 Beruri;14702;1.42;215.5;62.14;2.24;2.52;10.81;1214093.03;1954195.08;3168288.41;130063
130070 Boca do Acre;31221;3.45;270.36;58.14;1.52;4.08;0.69;4095602.43;3916499.78;8440819.91;130070
130080 Borba;32496;2.95;327.47;52.14;1.57;2.5;18.38;6486397.12;5160493.92;10641600.74;130080
130083 Caapiranga;11173;13.42;305.65;50.74;3.47;9.54;17.44;1317647.82;2099334.59;3415033.29;130083
130090 Canutama;11949;4.67;250.89;66.79;0.58;1.74;0.47;1042731.7;1983864.33;2997901.77;130090
130100 Carauari;26187;3.54;234.65;18.56;2.08;17.66;0.03;2406904.88;3708990.27;6144738.42;130100
130110 Careiro;32637;4.52;220.93;46.55;2.21;2.13;3.52;3967886.04;3928808.98;7210364.84;130110
130115 Careiro da Várzea;24700;2.71;176.18;55.48;0.25;3.17;10.34;2424974.85;2639800.35;4351565.16;130115
130120 Coari;66988;21.49;576.38;67.91;0.14;7.18;0.83;9469832.17;13896599.99;38610569.38;130120
130130 Codajás;16295;7.7;217.87;66.88;0.02;7.78;0.33;1675596.53;2312873.0;3550239.2;130130
130140 Eirunepé;30899;1.65;210.72;53.46;10.81;0.8;0.21;2471232.95;3474126.76;6511122.22;130140
130150 Envira;17617;2.33;259.18;44.92;1.95;2.22;1.75;2019445.35;3304342.48;4566060.46;130150
130160 Fonte Boa;18796;3.18;410.87;56.7;1.12;0.79;0.06;4487014.34;3289513.46;7722668.56;130160
130165 Guajará;15029;1.07;220.07;41.01;6.01;11.08;6.52;1255956.23;1941212.27;3307461.9;130165
130170 Humaitá;40737;6.03;362.36;26.83;2.64;10.64;14.63;5511596.17;9238575.6;14761660.21;130170
130180 Ipixuna;18199;1.81;243.14;50.49;1.88;1.07;0.64;1670358.59;2795697.35;4424885.87;130180
130185 Iranduba;33885;13.6;334.06;19.25;6.2;3.84;2.96;6769000.69;3954703.42;11319634.4;130185
130190 Itacoatiara;89438;4.85;302.45;74.26;0.11;2.11;0.4;13375649.96;10553607.1;27050706.24;130190
130195 Itamarati;8282;2.66;419.5;28.88;4.86;1.1;41.21;1358400.89;1498645.12;3474270.96;130195
130200 Itapiranga;9733;5.12;271.09;56.32;1.41;10.37;0.26;1004798.25;1892903.95;2638501.32;130200
130210 Japurá;4242;1.84;838.1;46.06;0.37;6.02;22.46;1563496.43;2239493.02;3555238.59;130210
130220 Juruá;9277;2.18;293.19;49.81;5.6;1.22;18.88;864892.48;1840543.5;2719965.52;130220
130230 Jutaí;16789;1.56;239.7;72.0;1.17;1.61;0.0;2471247.42;2041565.22;4024371.53;130230
130240 Lábrea;39391;3.27;225.08;33.41;1.71;2.48;3.12;4713343.5;4616619.54;8866231.96;130240
130250 Manacapuru;86478;4.47;226.97;49.24;7.38;0.03;41.8;11545018.89;8088947.66;19627966.55;130250
130255 Manaquiri;20837;3.33;230.22;51.24;2.91;5.94;8.83;2290126.9;2129533.13;4797053.6;130255
130260 Manaus;1738641;23.37;248.46;76.56;2.46;8.35;2.54;102386064.48;331057464.42;431988735.02;130260
130270 Manicoré;46773;3.04;192.3;76.99;12.12;2.18;0.6;4632070.1;4362460.99;8994531.09;130270
130280 Maraă;18136;1.98;198.68;48.56;2.28;0.99;7.09;1777767.13;2177334.09;3603273.38;130280
130290 Maués;49668;4.81;298.64;60.49;8.76;2.52;1.83;9210056.73;5604788.26;14832866.37;130290
130300 Nhamundá;18474;0.52;231.42;39.74;44.12;1.54;2.92;1398822.55;2861354.01;4275176.56;130300
130310 Nova Olinda do Norte;31014;2.19;214.21;67.67;2.45;9.59;1.23;4331429.92;2872209.45;6643640.29;130310
130320 Novo Airăo;15915;2.95;199.24;78.12;7.73;0.54;0.19;923689.19;2484791.32;3170862.2;130320
130330 Novo Aripuană;18953;1.66;212.91;62.39;13.64;2.74;0.58;1591243.71;2443954.0;4035197.71;130330
130340 Parintins;107249;4.77;255.18;59.56;1.74;17.36;2.36;17203772.9;9410627.72;27368000.45;130340
130350 Pauini;19105;2.39;426.74;46.48;1.22;2.2;19.3;4428125.83;3757843.6;8152891.66;130350
130353 Presidente Figueiredo;26284;5.68;589.8;83.87;0.24;3.31;3.31;4016285.28;11851358.36;15502226.09;130353
130356 Rio Preto da Eva;26847;4.64;275.09;45.81;1.49;4.66;0.29;4517785.23;3072328.66;7385419.92;130356
130360 Santa Isabel do Rio Negro;18504;2.24;274.5;47.68;1.66;9.45;19.14;1836146.5;3235537.39;5079353.34;130360
130370 Santo Antônio do Içá;30347;1.79;187.92;48.19;2.68;3.69;0.13;3117336.04;3048539.72;5702887.27;130370
130380 Săo Gabriel da Cachoeira;41887;2.7;329.44;19.2;6.25;3.64;0.35;6728940.03;7067834.59;13799280.62;130380
130390 Săo Paulo de Olivença;32956;3.6;179.31;62.49;3.23;1.87;2.38;2373117.09;3073727.46;5909182.37;130390
130395 Săo Sebastiăo do Uatumă;9269;2.86;342.47;67.08;1.16;6.7;5.74;972131.74;2228044.45;3174350.84;130395
130400 Silves;8543;2.72;316.19;63.2;1.37;4.72;11.79;1106708.7;1464697.87;2701192.39;130400
130406 Tabatinga;47951;4.2;253.81;47.99;21.95;1.04;1.23;7564567.7;4013213.74;12170528.53;130406
130410 Tapauá;19884;1.76;334.31;68.85;8.95;0.75;1.62;2568038.54;3717785.49;6647495.42;130410
130420 Tefé;64670;4.48;225.73;36.38;14.12;6.18;2.59;10351923.9;5702117.23;14598227.13;130420
130423 Tonantins;20286;0.82;219.64;67.32;2.09;1.84;2.89;3170084.35;2009041.01;4455619.62;130423
130426 Uarini;10107;1.95;311.97;60.44;0.68;2.73;0.68;1742541.49;1564741.84;3153082.44;130426
130430 Urucará;15781;3.66;294.93;76.47;1.06;2.55;0.97;1970704.63;2605477.82;4654337.73;130430
130440 Urucurituba;18539;1.94;226.19;59.17;1.83;3.37;0.33;1913007.69;2183711.7;4193313.76;130440
140005 Alto Alegre;14204;4.53;462.91;77.07;2.32;5.14;2.1;4820228.18;1114404.98;6575216.15;140005
140002 Amajari;8251;6.31;348.38;65.97;4.82;4.34;2.78;2444436.24;755711.05;2874449.41;140002
140010 Boa Vista;266901;12.4;360.03;86.59;1.89;2.13;1.48;28120811.35;62962275.45;96093220.78;140010
140015 Bonfim;10726;3.0;378.18;61.58;1.21;5.86;10.17;2958871.89;919795.14;4056396.07;140015
140017 Cantá;11943;4.73;262.13;66.38;1.74;7.46;0.37;1764466.96;1197228.41;3130617.67;140017
140020 Caracaraí;19237;5.47;243.34;72.94;2.83;3.1;1.31;3142772.91;1933952.91;4681176.78;140020
140023 Caroebe;7572;2.78;267.27;71.67;2.12;4.36;2.15;1219262.8;728827.34;2023737.06;140023
140028 Iracema;6249;6.88;303.77;45.13;5.4;12.46;2.05;1163074.03;704110.0;1898264.23;140028
140030 Mucajaí;13191;7.53;262.73;79.59;1.74;0.97;2.79;2097620.77;1412027.11;3465630.66;140030
140040 Normandia;7531;2.03;382.89;84.31;7.31;3.02;0.0;2883558.51;750701.64;2883558.51;140040
140045 Pacaraima;9218;2.7;443.49;66.96;1.03;3.26;12.99;3412775.19;841715.58;4088112.18;140045
140047 Rorainópolis;26546;9.59;158.41;61.34;3.52;2.32;1.77;1869494.88;2163502.6;4205107.07;140047
140050 Săo Joăo da Baliza;6017;5.81;305.02;67.76;2.93;3.48;1.26;933659.05;662168.1;1835333.25;140050
140060 Săo Luiz;5978;3.64;277.52;59.45;5.1;23.0;1.53;997558.58;716393.14;1659044.24;140060
140070 Uiramută;7933;1.65;455.22;56.64;1.01;7.04;0.71;2826710.62;704583.0;3611234.92;140070
150010 Abaetetuba;139823;2.4;192.65;42.28;5.05;13.28;0.7;16456076.71;9089002.73;26936920.66;150010
150013 Abel Figueiredo;6971;4.28;379.67;51.85;5.95;3.71;3.32;1544546.56;1082732.89;2646695.31;150013
150020 Acará;48497;4.79;188.89;72.69;4.61;8.87;1.91;6217678.66;3156463.72;9160752.15;150020
150030 Afuá;32629;1.31;164.77;49.71;13.08;3.0;1.81;2799988.93;2193478.92;5376372.52;150030
150034 Água Azul do Norte;31218;2.1;232.02;34.75;2.02;19.5;17.6;4519492.67;2498090.78;7243344.06;150034
150040 Alenquer;57064;1.7;126.52;61.48;10.05;6.94;5.33;3688019.14;3926653.9;7219949.23;150040
150050 Almeirim;31197;17.0;415.88;42.98;6.11;7.11;2.0;6497209.7;6460984.57;12974172.64;150050
150060 Altamira;98751;8.11;282.77;39.54;5.76;5.88;1.52;17929598.0;10016117.68;27923728.68;150060
150070 Anajás;27385;1.54;258.45;48.51;6.99;2.85;2.53;2994234.74;3054411.69;7077536.12;150070
150080 Ananindeua;505514;10.5;183.65;48.39;3.4;36.35;2.43;65443060.83;27501828.7;92839531.23;150080
150085 Anapu;20422;2.85;238.5;31.48;4.53;4.45;7.63;3041154.0;1818321.63;4870666.64;150085
150090 Augusto Corrêa;39319;2.38;171.19;36.89;4.16;5.71;6.53;4158433.9;2283060.11;6730842.17;150090
150095 Aurora do Pará;22317;2.2;178.03;60.43;6.66;6.48;0.0;2161931.16;1615905.26;3973042.89;150095
150100 Aveiro;20263;1.69;178.19;46.86;10.42;2.73;1.76;1631215.98;1662893.51;3610568.91;150100
150110 Bagre;20386;1.42;144.56;41.7;6.58;2.83;2.16;1023008.0;1978196.15;2947056.36;150110
150120 Baiăo;28301;1.85;222.44;39.52;5.51;3.64;2.26;3678988.4;1863558.99;6295152.3;150120
150125 Bannach;3950;3.29;610.03;43.89;11.42;13.57;11.2;1411624.33;991884.14;2409613.61;150125
150130 Barcarena;92569;17.78;323.29;65.66;19.19;7.05;3.33;10926599.26;18962721.3;29926960.34;150130
150140 Belém;1437604;20.68;347.71;41.71;1.73;43.69;1.32;300521688.77;187103642.15;499871901.37;150140
150145 Belterra;12672;3.31;336.36;37.88;2.46;2.57;1.36;2280313.0;1961683.62;4262312.45;150145
150150 Benevides;46611;6.96;289.99;38.03;2.72;4.51;6.06;5595433.03;7282324.5;13516865.24;150150
150157 Bom Jesus do Tocantins;13602;7.29;414.53;23.41;20.61;3.18;0.28;3772632.6;1573994.75;5638501.44;150157
150160 Bonito;12011;1.9;244.41;49.18;8.62;7.03;12.03;1598107.5;1095478.13;2935629.48;150160
150170 Bragança;107061;2.39;157.24;59.34;0.44;9.49;9.33;10173347.66;5166776.37;16834753.78;150170
150172 Brasil Novo;19751;6.15;221.77;37.05;3.51;8.18;9.21;2608300.0;1765987.98;4380183.51;150172
150175 Brejo Grande do Araguaia;7687;6.2;293.96;34.28;10.06;1.09;0.53;1259324.5;997570.24;2259687.39;150175
150178 Breu Branco;52201;3.52;185.21;51.69;9.12;6.14;9.68;4051711.63;5773000.78;9668261.49;150178
150180 Breves;101096;1.65;190.92;61.45;8.72;9.3;1.29;12498698.86;5613888.59;19301628.92;150180
150190 Bujaru;23650;0.75;134.03;60.57;3.41;10.74;0.0;1324941.14;1862047.68;3169809.29;150190
150200 Cachoeira do Arari;20408;2.03;138.17;57.3;14.19;3.62;1.55;1744594.15;1575589.23;2819777.81;150200
150195 Cachoeira do Piriá;18780;1.79;228.4;46.12;9.2;4.25;16.5;1514791.5;2604129.63;4289279.08;150195
150210 Cametá;117102;1.38;168.41;49.59;1.09;32.17;0.6;14434514.93;5749608.48;19721678.95;150210
150215 Canaă dos Carajás;27673;24.94;686.55;67.95;4.1;6.9;8.67;2709888.66;12836400.3;18998952.86;150215
150220 Capanema;64429;5.94;288.82;24.03;4.68;37.51;8.13;13518604.94;4735194.67;18608610.11;150220
150230 Capităo Poço;52799;2.0;146.06;47.44;6.5;6.81;10.5;3870279.81;6982262.57;7711977.6;150230
150240 Castanhal;161496;7.36;289.7;37.1;5.34;42.52;5.13;34152442.91;13182605.7;46785478.37;150240
150260 Colares;11429;7.01;306.94;44.9;6.9;1.25;26.91;1483250.0;1485285.22;3508000.0;150260
150270 Conceiçăo do Araguaia;47238;1.82;338.43;28.13;1.25;13.79;0.58;7234255.05;3771577.67;15986975.37;150270
150275 Concórdia do Pará;22249;1.69;214.53;47.0;5.02;4.43;2.62;2951756.3;1657948.61;4772996.01;150275
150276 Cumaru do Norte;11892;6.01;383.98;39.11;4.62;14.12;0.65;1185867.15;2387209.3;4566298.23;150276
150277 Curionópolis;17944;1.71;359.25;44.1;4.17;14.63;3.46;3179071.95;2298103.99;6446361.72;150277
150280 Curralinho;27540;0.02;147.49;75.87;10.23;1.88;0.23;2339275.86;1721357.6;4061920.75;150280
150285 Curuá;12984;0.47;178.2;46.28;2.97;10.04;8.31;737752.25;1170534.12;2313713.47;150285
150290 Curuçá;36747;2.89;241.34;66.73;4.27;19.21;0.79;4881743.8;4028123.05;8868361.72;150290
150293 Dom Eliseu;39086;6.5;228.55;38.17;10.32;10.25;2.66;5398821.78;3501238.68;8933139.81;150293
150295 Eldorado dos Carajás;29250;1.58;209.94;48.14;2.08;6.59;3.49;3688004.04;2230220.47;6140838.73;150295
150304 Floresta do Araguaia;15628;3.64;421.14;71.68;1.95;2.83;0.74;2744913.77;2077027.16;6581505.5;150304
150307 Garrafăo do Norte;25540;0.8;189.65;39.83;2.92;2.16;0.45;2115150.2;2324052.56;4843750.55;150307
150309 Goianésia do Pará;29161;1.88;214.67;56.86;17.3;2.0;0.31;3319919.74;2337223.98;6259994.78;150309
150310 Gurupá;25517;0.04;184.33;44.39;6.15;5.45;3.68;1933143.82;2370243.93;4703463.98;150310
150320 Igarapé-Açu;35236;3.64;198.67;45.08;2.93;5.12;1.97;4007371.06;2699257.27;7000265.83;150320
150330 Igarapé-Miri;57001;1.82;202.47;45.97;6.37;5.06;3.86;9034618.95;2820000.0;11540835.82;150330
150340 Inhangapi;10375;0.54;205.11;43.33;9.4;6.23;7.07;1010524.13;1128000.0;2128000.0;150340
150345 Ipixuna do Pará;44396;5.54;139.38;65.5;6.21;5.32;1.3;2612460.57;3192048.17;6188038.76;150345
150350 Irituia;30555;1.87;206.48;40.41;2.37;3.34;0.58;3278062.32;2770063.98;6308998.65;150350
150360 Itaituba;127851;7.18;141.25;56.31;5.55;5.53;2.55;10247635.71;7713756.06;18059214.76;150360
150370 Itupiranga;41540;3.38;266.98;51.09;8.56;14.19;0.85;5691455.65;4382849.13;11090148.86;150370
150375 Jacareacanga;41483;2.05;140.84;44.07;11.37;4.9;3.23;2610735.73;3199986.04;5842383.76;150375
150380 Jacundá;55901;1.11;163.49;60.36;18.9;9.01;2.18;4548838.9;4371100.55;9139507.17;150380
150390 Juruti;35532;21.75;453.08;57.88;3.89;9.79;13.46;5212811.98;7997052.05;16098977.37;150390
150400 Limoeiro do Ajuru;24967;1.05;215.98;51.93;9.15;3.01;1.46;2859301.47;2269227.92;5392446.81;150400
150405 Măe do Rio;29090;2.39;224.54;64.95;3.87;6.7;1.26;3030763.33;3029669.18;6531869.8;150405
150420 Marabá;203048;19.68;364.56;63.17;4.6;14.34;1.63;32804840.14;43529841.7;74023976.21;150420
150430 Maracană;29417;2.64;216.39;38.65;8.25;4.77;1.85;3675443.4;3014459.32;6365655.49;150430
150440 Marapanim;28004;1.18;180.84;67.47;3.95;3.45;1.72;3261965.25;1802262.42;5064227.67;150440
150442 Marituba;101159;4.49;287.1;49.42;3.98;33.73;1.73;18347313.47;7628680.38;29042974.12;150442
150445 Medicilândia;23680;1.98;335.18;31.88;4.23;2.9;31.32;3392005.47;2775344.07;7937066.8;150445
150450 Melgaço;17655;2.64;265.24;61.45;3.81;4.93;1.7;2346704.54;2343484.87;4682817.99;150450
150460 Mocajuba;24696;2.37;218.2;31.53;11.14;3.42;2.7;3484006.08;2034761.17;5388719.78;150460
150470 Moju;68601;1.17;203.39;52.1;5.59;4.09;3.05;8530364.44;4425867.42;13953011.32;150470
150480 Monte Alegre;63944;1.08;188.88;53.46;10.7;7.19;4.23;7152323.08;4725276.39;12077622.2;150480
150495 Nova Esperança do Piriá;24061;0.97;160.18;47.29;13.31;6.59;0.88;2030036.9;2059197.94;3853991.71;150495
150497 Nova Ipixuna;15098;2.6;220.0;63.44;5.14;11.2;3.47;1718502.73;1554390.25;3321490.97;150497
150500 Nova Timboteua;12677;1.34;219.88;33.82;6.09;5.59;1.51;1358868.69;1085692.03;2787476.54;150500
150503 Novo Progresso;21504;7.78;428.9;54.76;1.7;5.98;3.32;4829489.32;3471394.66;9223035.09;150503
150506 Novo Repartimento;55759;2.46;144.75;40.47;21.15;1.55;6.81;5293030.43;4123799.44;8071022.65;150506
150510 Óbidos;48428;1.5;132.06;58.79;4.29;16.93;1.18;4692160.68;3081594.44;6395292.24;150510
150520 Oeiras do Pará;26797;1.78;167.21;62.68;6.04;1.61;0.97;2102758.98;2358581.85;4480649.41;150520
150530 Oriximiná;58684;10.06;387.47;57.33;3.18;15.39;4.62;5924376.23;16813871.54;22738280.14;150530
150540 Ourém;15842;1.61;305.24;48.92;1.5;6.56;6.84;3574993.47;1672458.1;4835583.89;150540
150543 Ourilândia do Norte;21324;47.74;631.36;42.79;1.62;30.05;10.47;4567792.61;8887803.18;13463119.19;150543
150548 Pacajá;41955;1.35;153.45;44.39;25.55;3.37;1.35;2942608.14;3215016.45;6437905.88;150548
150549 Palestina do Pará;7298;3.26;401.42;32.0;2.32;11.8;0.24;1564672.81;1304697.42;2929551.08;150549
