Munic-BR;Populaçăo;1.1_%R.Líquida_Total;2.1_D.Total_Saúde/Hab;2.2_%D.Pessoal/D.Total;2.3_%D.com_Medicamentos;2.4_%D.Serv.Terc/D.Total;2.5_%D.Invest/D.Total;R.Transf.SUS;D.R.Próprios;D.Total_Saúde;cod_municipio
110001 Alta Floresta D'Oeste;24354;4.62;434.87;64.97;2.34;13.3;1.44;5162589.35;4775340.81;10590788.81;110001
110037 Alto Alegre dos Parecis;11875;2.21;372.23;59.29;3.57;25.21;2.13;2574478.04;2038110.15;4420204.35;110037
110040 Alto Paraíso;17570;3.68;294.71;67.92;3.47;6.56;2.36;2324089.28;2937285.7;5178089.89;110040
110034 Alvorada D'Oeste;16708;13.33;325.65;63.35;4.93;11.44;2.12;2250478.41;3044372.53;5440932.77;110034
110002 Ariquemes;85542;12.16;364.94;72.03;4.11;10.71;2.14;13075432.26;17398228.03;31217678.64;110002
110045 Buritis;34693;5.8;226.41;42.0;4.98;23.48;6.79;4319461.83;3380179.39;7854700.97;110045
110003 Cabixi;6691;3.02;356.43;69.81;4.74;4.8;3.65;1101324.8;1476671.47;2384891.73;110003
110060 Cacaulândia;5732;3.4;446.73;74.84;6.12;5.06;0.56;1168101.34;1582817.25;2560679.59;110060
110004 Cacoal;78675;11.63;353.93;64.97;0.47;11.3;1.88;16221206.58;12129349.83;27845575.3;110004
110070 Campo Novo de Rondônia;12912;2.97;222.95;75.11;2.84;4.83;1.39;1787571.15;1611952.49;2878748.02;110070
110080 Candeias do Jamari;17547;3.82;321.71;69.37;2.76;9.47;6.51;3798248.26;3928054.14;5644970.97;110080
110090 Castanheiras;3684;4.92;533.93;66.71;9.58;6.87;4.61;767594.79;1355255.58;1967006.18;110090
110005 Cerejeiras;16627;7.58;364.07;61.96;5.89;3.39;3.82;3305353.35;2546730.52;6053434.76;110005
110092 Chupinguaia;7841;3.61;489.91;76.01;0.68;1.58;2.01;597631.91;3328756.3;3841421.32;110092
110006 Colorado do Oeste;17826;8.24;291.6;73.27;5.53;3.51;1.68;2712530.87;2504615.27;5198022.3;110006
110007 Corumbiara;9682;4.59;317.82;75.75;2.45;4.8;2.39;989018.77;2496179.2;3077139.98;110007
110008 Costa Marques;14451;2.3;251.82;72.2;12.81;1.93;1.83;1735821.44;2033108.64;3638987.16;110008
