Munic-BR;Populaçăo;1.1_%R.Líquida_Total;2.1_D.Total_Saúde/Hab;2.2_%D.Pessoal/D.Total;2.3_%D.com_Medicamentos;2.4_%D.Serv.Terc/D.Total;2.5_%D.Invest/D.Total;R.Transf.SUS;D.R.Próprios;D.Total_Saúde;cod_municipio
110001 Alta Floresta D'Oeste;24069;5.35;496.9;74.63;5.4;3.73;3.55;5413992.77;6323278.53;11960006.33;110001
110037 Alto Alegre dos Parecis;12833;2.4;445.54;68.53;1.23;9.57;1.6;3167967.37;3328163.11;5717609.26;110037
110040 Alto Paraíso;17742;4.09;433.78;63.7;3.16;4.5;17.37;2967660.93;4219082.82;7696212.1;110040
110034 Alvorada D'Oeste;16404;4.13;417.62;60.27;4.34;10.49;8.35;3282992.13;3382462.47;6850679.74;110034
110002 Ariquemes;92747;12.94;419.94;71.35;2.18;10.97;3.26;16101282.77;21534181.11;38948615.18;110002
110045 Buritis;33397;4.76;272.07;62.44;13.12;18.82;2.86;4652492.08;4395525.96;9086224.21;110045
110003 Cabixi;6132;5.3;608.84;72.61;2.6;5.04;8.21;1435950.37;2485365.55;3733386.8;110003
110060 Cacaulândia;5791;3.39;569.83;70.44;2.98;9.82;0.52;2594282.03;2324517.38;3299908.15;110060
110004 Cacoal;79330;14.67;393.95;71.5;0.93;12.97;2.84;15124228.57;15422303.25;31252084.61;110004
110070 Campo Novo de Rondônia;12847;2.75;398.43;68.43;1.67;3.08;8.42;2847969.1;2652652.89;5118689.47;110070
110080 Candeias do Jamari;20787;4.87;412.87;64.56;3.69;10.74;3.82;3714865.86;5119212.89;8582398.65;110080
110090 Castanheiras;3479;5.46;898.78;56.32;7.01;2.51;24.31;876191.16;1608218.06;3126845.65;110090
110005 Cerejeiras;16852;6.42;536.34;50.74;5.15;3.9;10.66;3321490.96;4059153.41;9038323.42;110005
110092 Chupinguaia;8721;6.08;692.27;68.74;2.23;4.98;15.17;1121967.41;4802859.07;6037293.13;110092
110006 Colorado do Oeste;18093;7.8;399.33;72.84;5.23;9.35;0.77;2930611.47;4420947.65;7225151.02;110006
110007 Corumbiara;8530;4.38;518.17;76.49;0.19;3.98;6.8;957794.53;3374657.53;4419988.68;110007
110008 Costa Marques;14355;3.44;365.3;56.68;2.1;3.98;13.54;2005370.32;3088276.66;5243950.41;110008
110094 Cujubim;17262;3.43;334.42;68.27;3.71;6.89;5.49;2324540.89;3827455.06;5772732.17;110094
110009 Espigăo D'Oeste;29189;6.47;412.01;71.1;4.18;11.23;1.71;3582739.43;8415619.63;12026228.4;110009
110100 Governador Jorge Teixeira;10040;2.94;496.04;71.11;2.58;4.72;4.96;2615415.17;2463077.94;4980205.23;110100
110010 Guajará-Mirim;42202;8.42;455.3;63.71;5.92;11.84;0.93;9915111.61;9745724.79;19214442.07;110010
110110 Itapuă do Oeste;8830;6.16;507.89;46.92;3.53;8.35;9.83;972750.48;2966421.66;4484629.51;110110
110011 Jaru;51765;8.51;392.29;69.25;4.68;11.06;2.75;8400109.95;10905406.1;20306777.78;110011
110012 Ji-Paraná;118092;14.73;394.83;63.26;4.36;17.52;3.6;24567798.25;23171678.63;46625875.15;110012
110013 Machadinho D'Oeste;32403;4.27;283.64;66.35;5.92;5.35;9.89;7314716.02;3531601.57;9190939.46;110013
110120 Ministro Andreazza;10203;2.28;400.85;62.67;1.52;5.17;8.17;1640327.09;2025262.21;4089832.59;110120
110130 Mirante da Serra;11686;3.81;350.85;83.44;2.14;5.11;1.84;2257572.68;1889658.87;4100074.27;110130
110140 Monte Negro;14313;5.99;492.33;58.88;2.83;13.47;9.6;4154010.53;3387361.93;7046765.77;110140
110014 Nova Brasilândia D'Oeste;19891;3.46;520.95;46.19;3.39;4.24;32.15;6578544.55;3538653.77;10362244.04;110014
110033 Nova Mamoré;23719;4.67;322.46;64.22;3.18;9.06;3.67;2633185.26;4687921.07;7648521.99;110033
110143 Nova Uniăo;7382;3.06;442.08;54.07;0.97;5.57;5.88;1027255.32;1852330.07;3263419.99;110143
110050 Novo Horizonte do Oeste;9933;2.0;427.57;74.6;2.59;6.94;0.35;1644777.17;2091399.19;4247089.36;110050
110015 Ouro Preto do Oeste;37482;8.56;385.67;83.39;1.53;4.73;2.29;6838406.28;7146767.08;14455507.72;110015
110145 Parecis;4990;2.88;581.67;67.46;11.3;12.16;2.75;797038.06;1853023.77;2902535.71;110145
110018 Pimenta Bueno;34135;12.67;443.13;72.35;4.18;9.98;4.17;5797054.28;10130929.56;15126094.99;110018
110146 Pimenteiras do Oeste;2283;1.64;1272.06;68.07;2.82;8.06;1.22;616247.91;2022837.65;2904104.85;110146
110020 Porto Velho;442701;26.25;412.16;72.48;2.23;9.15;5.22;70953727.09;102565924.01;182464002.58;110020
110025 Presidente Médici;21709;6.21;431.99;71.54;0.94;5.67;4.3;4931195.53;4744477.4;9378175.45;110025
110147 Primavera de Rondônia;3406;3.25;650.41;66.66;2.26;5.5;7.91;702732.45;1380190.91;2215310.33;110147
110026 Rio Crespo;3374;3.9;814.14;67.87;4.49;5.79;10.34;558310.93;2075171.36;2746898.15;110026
110028 Rolim de Moura;51142;11.69;466.16;75.93;2.08;5.08;1.29;9810779.21;13663887.67;23840452.01;110028
110029 Santa Luzia D'Oeste;8476;3.13;460.67;78.35;2.07;8.95;0.78;1510081.67;2214419.92;3904649.47;110029
110148 Săo Felipe D'Oeste;5862;1.41;508.79;68.02;4.18;5.24;2.43;1631588.9;1743783.19;2982537.39;110148
110149 Săo Francisco do Guaporé;16636;5.68;431.97;59.57;3.44;15.87;7.67;3088324.96;4641043.61;7186298.17;110149
110032 Săo Miguel do Guaporé;21927;4.32;391.53;68.18;0.39;6.31;2.66;3244207.25;5726939.61;8585076.78;110032
110150 Seringueiras;11619;6.42;498.63;65.62;0.53;3.96;12.63;2972040.78;3263796.17;5793639.07;110150
110155 Teixeirópolis;4778;3.47;596.41;75.58;4.18;8.73;3.49;867988.88;1889176.22;2849634.67;110155
110160 Theobroma;10575;3.62;459.15;70.77;7.32;5.47;14.95;2142144.2;3000754.54;4855522.45;110160
110170 Urupá;12687;4.41;355.86;69.9;2.98;7.23;10.99;2219989.82;2492748.08;4514798.89;110170
110175 Vale do Anari;9633;2.88;347.94;76.04;4.85;11.92;0.0;1596122.17;1886129.02;3351748.94;110175
110180 Vale do Paraíso;7961;4.61;547.35;70.86;0.78;5.54;7.86;2097403.51;2136913.17;4357441.28;110180
110030 Vilhena;79616;12.68;573.81;57.38;8.57;4.72;4.31;16136275.67;22399815.1;45684691.06;110030
120001 Acrelândia;13011;2.94;255.83;65.94;7.09;6.81;4.16;2279811.16;1404340.11;3328616.42;120001
120005 Assis Brasil;6308;2.66;365.7;29.06;1.48;2.5;5.32;1484053.28;1073379.27;2306819.57;120005
120010 Brasiléia;22261;3.6;282.64;44.85;11.2;10.92;9.88;3808504.55;2925332.62;6291956.54;120010
120013 Bujari;8782;2.77;251.49;25.72;17.3;6.36;0.95;1194462.77;1123875.38;2208558.54;120013
120017 Capixaba;9368;3.58;245.74;50.65;3.96;3.18;0.28;1231864.7;1075557.74;2302092.33;120017
120020 Cruzeiro do Sul;79819;11.19;246.04;63.51;7.45;2.41;15.25;11960718.86;7719707.73;19638367.74;120020
120025 Epitaciolândia;15679;4.86;274.62;45.07;6.78;8.77;1.55;2146732.56;1819209.09;4305704.07;120025
120030 Feijó;32560;4.58;202.0;60.91;22.21;2.61;2.11;4033499.98;2706376.81;6577233.21;120030
120032 Jordăo;6898;1.63;325.57;41.23;3.42;5.06;0.41;1148479.08;1131271.84;2245788.92;120032
120033 Mâncio Lima;15890;3.38;295.2;58.34;2.41;2.47;10.38;3078313.96;1782468.91;4690705.99;120033
120034 Manoel Urbano;8224;8.57;301.2;37.51;3.83;2.97;1.48;1716819.82;1134208.42;2477053.97;120034
120035 Marechal Thaumaturgo;15123;1.68;245.07;45.51;16.93;9.41;5.37;2256545.78;1519192.47;3706137.33;120035
120038 Plácido de Castro;17587;2.67;382.65;61.64;6.09;9.69;4.61;3486173.08;2692570.29;6729652.99;120038
120080 Porto Acre;15534;5.07;282.91;46.8;4.55;5.08;17.91;3406706.78;1552770.47;4394800.08;120080
120039 Porto Walter;9711;2.25;281.27;42.93;6.06;4.6;2.65;1709872.2;1121378.11;2731369.91;120039
120040 Rio Branco;348354;12.56;223.42;63.74;7.03;10.95;5.51;27281503.19;52946317.3;77828783.55;120040
120042 Rodrigues Alves;15260;2.49;250.66;33.54;9.73;5.94;21.57;2570405.75;1765555.47;3825136.4;120042
120043 Santa Rosa do Purus;5061;0.99;519.45;42.77;27.62;1.76;8.64;1533998.34;1170972.65;2628914.15;120043
120050 Sena Madureira;39366;4.93;223.7;46.02;5.99;3.07;7.2;5124970.88;3687889.42;8805984.49;120050
120045 Senador Guiomard;20588;4.4;277.73;47.02;15.37;1.36;3.03;3250481.13;2658417.29;5717952.13;120045
120060 Tarauacá;36763;3.83;233.54;46.72;5.93;4.34;10.54;4783886.38;3161557.47;8585485.54;120060
120070 Xapuri;16639;4.88;253.81;34.99;13.59;13.28;6.1;3009472.09;2161141.78;4223158.0;120070
130002 Alvarăes;14381;1.88;289.73;72.35;8.94;0.01;5.19;2359304.26;443.85;4166668.11;130002
130006 Amaturá;9794;2.45;266.33;52.96;2.14;1.28;8.58;1073102.06;1796366.93;2608481.19;130006
130008 Anamă;10766;2.57;324.51;54.42;1.62;9.5;8.14;1350448.09;1952648.6;3493704.45;130008
130010 Anori;17072;2.68;245.76;58.13;1.79;9.0;0.02;1993126.65;2316207.02;4195675.09;130010
130014 Apuí;18633;2.92;323.91;16.82;1.56;0.39;0.24;2442192.32;3514960.25;6035394.34;130014
130030 Autazes;33312;3.86;297.61;46.75;0.44;1.99;10.63;6597086.09;3886111.97;9913970.99;130030
130040 Barcelos;25948;0.79;244.75;26.64;0.5;1.45;1.58;2329688.1;3754599.32;6350646.8;130040
130050 Barreirinha;28077;2.26;279.58;63.75;14.45;4.81;0.88;2698430.89;4912131.76;7849728.49;130050
130063 Beruri;16158;0.83;299.51;53.11;11.77;11.52;1.42;1497771.26;3341696.16;4839467.42;130063
130080 Borba;35919;2.55;427.38;46.77;1.44;4.76;21.17;10647462.78;4552678.07;15351166.2;130080
130083 Caapiranga;11303;1.76;422.77;20.01;1.4;2.99;44.22;2071911.83;2696088.17;4778599.74;130083
130090 Canutama;13986;3.16;275.16;74.83;1.45;5.81;0.11;1728746.95;2516526.2;3848330.4;130090
