Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2016
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";25506;5,18;565,02;72,51;0,13;4,56;6,76;6042755,14;8619827,62;14411336,85
"110037 Alto Alegre dos Parecis";13993;2,63;536,58;71,62;1,33;2,75;5,79;3282313,99;4006254,01;7508420,10
"110040 Alto Paraíso";20569;4,99;384,64;79,52;3,46;1,78;7,49;3281350,54;5175759,64;7911756,42
"110034 Alvorada D'Oeste";16902;3,77;535,82;65,62;1,69;6,52;8,75;3290744,60;6338827,99;9056510,87
"110002 Ariquemes";105896;12,86;546,05;72,25;4,74;6,18;4,52;26198116,03;25199700,93;57824122,57
"110045 Buritis";38450;5,81;359,80;67,13;0,50;11,39;5,06;6651811,02;6813381,97;13834183,87
"110003 Cabixi";6289;3,77;794,98;68,44;6,55;4,20;1,29;1733699,36;3804268,14;4999635,22
"110060 Cacaulândia";6414;4,06;768,55;61,13;0,19;9,27;16,25;1732930,74;2317502,97;4929508,04
"110004 Cacoal";87877;16,12;472,96;59,37;1,31;18,69;7,36;20662176,40;22340747,44;41562269,66
"110070 Campo Novo de Rondônia";14354;2,92;602,02;73,55;2,92;4,10;9,50;2716970,55;5128838,69;8641395,78
"110080 Candeias do Jamari";24719;5,75;451,89;81,17;5,18;6,23;0,15;3036212,81;8290983,70;11170380,73
"110090 Castanheiras";3583;3,20;1195,42;68,91;4,18;4,29;10,18;1157328,18;3125036,98;4283204,02
"110005 Cerejeiras";17959;7,58;710,54;43,29;1,72;3,08;16,47;4796581,90;7154180,90;12760663,27
"110092 Chupinguaia";10364;5,28;753,22;68,91;4,25;3,22;5,58;1888982,16;6127139,01;7806392,73
"110006 Colorado do Oeste";18639;7,04;510,93;69,31;8,36;4,17;3,93;4266357,88;5470059,35;9523309,25
"110007 Corumbiara";8749;3,85;738,08;73,61;1,84;4,00;9,73;1113337,39;4897354,74;6457471,69
"110008 Costa Marques";17031;3,03;354,97;71,58;3,07;4,27;0,00;2601321,66;3000000,00;6045505,05
"110094 Cujubim";21720;2,82;330,00;67,58;0,11;7,16;10,52;2855746,48;3414343,34;7167652,20
"110009 Espigão D'Oeste";32712;7,66;482,31;65,39;3,89;7,78;7,27;4986557,87;10568598,88;15777351,67
"110100 Governador Jorge Teixeira";9933;3,52;595,93;58,97;1,08;8,24;9,61;2789417,80;3255011,66;5919408,86
"110010 Guajará-Mirim";47048;6,35;517,39;64,99;0,11;12,97;4,39;11467485,02;14646044,60;24342108,13
"110110 Itapuã do Oeste";10155;5,05;555,14;66,37;0,00;5,75;5,66;2090718,36;3921021,01;5637468,70
"110011 Jaru";55806;7,75;422,61;71,67;4,59;3,25;3,82;9878755,76;13037442,07;23584395,60
"110012 Ji-Paraná";131560;14,11;476,69;63,45;3,11;15,87;6,89;34480321,92;28074927,02;62713860,07
"110013 Machadinho D'Oeste";37899;5,44;432,95;65,43;0,00;9,88;8,67;7314646,36;7610048,36;16408419,28
"110120 Ministro Andreazza";10786;4,45;492,10;73,45;0,00;4,97;4,06;2866658,11;3224113,57;5307835,57
"110130 Mirante da Serra";12308;3,59;372,41;84,17;1,99;2,57;2,07;2414064,24;2566926,48;4583619,15
"110140 Monte Negro";16032;3,03;590,13;67,50;3,60;10,90;5,47;4609772,21;5689901,07;9460952,25
"110014 Nova Brasilândia D'Oeste";21670;3,63;480,24;71,50;3,52;1,77;6,24;4363356,75;5835858,26;10406861,70
"110033 Nova Mamoré";28255;4,10;454,45;58,50;0,00;3,16;14,54;5817772,76;7914054,62;12840389,47
"110143 Nova União";7796;2,95;502,10;61,60;0,97;8,04;3,58;1357924,69;2628568,99;3914410,35
"110050 Novo Horizonte do Oeste";10161;2,61;526,15;73,10;0,63;8,27;5,05;2974994,64;3399436,17;5346178,50
"110015 Ouro Preto do Oeste";39840;8,43;526,65;72,06;1,82;3,96;8,58;7787037,45;9790839,13;20981923,51
"110145 Parecis";5802;4,05;612,34;65,48;0,00;6,98;5,78;1093139,21;2432812,83;3552821,98
"110018 Pimenta Bueno";37786;11,26;581,56;66,24;1,82;8,32;6,44;9360870,39;15398377,32;21974949,01
"110146 Pimenteiras do Oeste";2417;3,43;1702,50;51,14;0,00;6,00;9,19;1492337,11;2839589,65;4114943,87
"110020 Porto Velho";511219;16,06;527,91;68,67;3,22;13,32;1,70;86445031,35;185689679,25;269875494,59
"110025 Presidente Médici";22337;6,82;616,06;64,40;6,78;5,11;9,70;6458268,38;7397355,50;13760845,67
"110147 Primavera de Rondônia";3456;2,35;909,00;66,26;3,30;3,51;11,03;1254177,42;1976768,90;3141498,97
"110026 Rio Crespo";3790;3,76;980,46;79,68;2,82;1,03;8,74;1242258,60;2657962,66;3715941,33
"110028 Rolim de Moura";56664;10,23;587,53;69,98;0,23;2,74;7,23;17530483,17;18105769,29;33291554,41
"110029 Santa Luzia D'Oeste";8362;3,81;746,69;59,34;0,82;8,81;20,16;2401605,78;3851588,71;6243800,70
"110148 São Felipe D'Oeste";6048;2,89;751,41;56,85;4,56;5,61;17,41;1885879,07;2217616,18;4544497,80
"110149 São Francisco do Guaporé";19353;4,42;578,95;50,75;0,00;8,81;9,04;5074471,09;6628747,37;11204405,54
"110032 São Miguel do Guaporé";24059;4,84;606,31;70,14;4,42;3,49;9,50;5547097,76;9278552,86;14587140,87
"110150 Seringueiras";12617;4,17;610,10;70,65;4,08;4,77;4,79;3094240,23;4836908,90;7697669,58
"110155 Teixeirópolis";4966;3,98;779,83;76,55;0,48;8,20;0,41;1433958,46;1966885,95;3872652,35
"110160 Theobroma";11348;0,67;485,43;73,63;7,01;6,02;0,00;2973534,96;2754329,66;5508659,31
