Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2009
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";24354;4,34;386,79;58,65;3,57;18,72;2,82;5158499,04;3928196,85;9419845,37
"110037 Alto Alegre dos Parecis";11875;1,56;310,82;56,48;0,40;22,45;7,48;2051754,45;1619203,20;3690937,18
"110040 Alto Paraíso";17569;3,72;216,56;66,47;6,04;5,27;2,57;1892989,08;2188949,28;3804766,60
"110034 Alvorada D'Oeste";17127;8,11;262,84;64,73;5,47;5,79;0,86;2103105,86;2471690,78;4501691,39
"110002 Ariquemes";85541;9,91;304,05;68,14;3,18;11,02;4,74;12608253,65;12801562,14;26008911,84
"110045 Buritis";34693;4,28;190,44;60,49;1,12;18,20;2,63;4072493,36;2822092,29;6607009,18
"110003 Cabixi";6695;2,78;317,70;71,16;0,11;4,52;3,93;967993,94;1474779,98;2127020,10
"110060 Cacaulândia";5736;3,42;414,66;67,85;0,42;6,49;1,97;783261,04;1680414,94;2378492,24
"110004 Cacoal";78675;10,17;300,36;64,66;3,35;10,07;0,60;16479954,31;10044973,11;23630678,27
"110070 Campo Novo de Rondônia";12915;2,98;210,96;80,14;0,70;7,05;0,42;1707023,59;1186543,68;2724525,64
"110080 Candeias do Jamari";17547;4,54;273,10;70,31;2,20;8,35;3,96;2047093,71;3028139,03;4792003,07
"110090 Castanheiras";3685;1,62;479,57;72,24;1,24;4,84;1,18;564824,76;1334463,10;1767217,52
"110005 Cerejeiras";16622;6,45;342,05;65,40;4,40;3,74;1,33;3167143,41;2398113,71;5685535,63
"110092 Chupinguaia";7843;5,85;474,06;71,97;4,66;2,02;2,41;521396,20;3114966,44;3718087,69
"110006 Colorado do Oeste";17822;5,64;234,34;78,38;4,64;4,08;0,38;2407654,09;2171822,56;4176450,08
"110007 Corumbiara";9680;4,25;298,89;72,18;3,71;6,23;2,73;774433,60;2058107,44;2893260,30
"110008 Costa Marques";14452;2,26;227,06;54,61;9,93;3,62;19,88;890387,11;2391102,89;3281490,00
"110094 Cujubim";14889;4,59;186,31;58,11;2,71;4,55;18,15;1044174,87;1769489,67;2774017,04
"110009 Espigão D'Oeste";28892;5,63;213,60;73,89;1,76;6,72;2,81;4351931,08;4454044,76;6171210,68
