Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2009
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110100 Governador Jorge Teixeira";11593;2,63;230,77;60,84;4,31;6,31;1,13;1149465,10;1471675,39;2675276,49
"110010 Guajará-Mirim";40762;5,13;325,17;60,40;1,59;10,57;2,83;6535859,94;6377198,97;13254623,69
"110110 Itapuã do Oeste";8235;4,26;349,13;64,04;3,35;15,61;0,20;617192,94;2144232,83;2875056,72
"110011 Jaru";53943;6,72;247,76;62,92;5,01;11,36;1,91;6770454,82;6595236,30;13364909,37
"110012 Ji-Paraná";111010;12,31;303,14;58,02;4,68;17,50;1,91;19554563,66;13758567,30;33651709,81
"110013 Machadinho D'Oeste";33159;4,37;201,67;71,91;4,16;5,97;0,48;4564298,72;3228737,35;6687282,68
"110120 Ministro Andreazza";10572;2,35;265,68;68,29;8,90;6,68;1,75;1172845,62;1414655,38;2808726,59
"110130 Mirante da Serra";12363;2,50;268,07;75,13;1,46;4,77;2,43;1877015,93;1307590,08;3314111,14
"110140 Monte Negro";12708;4,22;368,62;66,07;5,68;6,08;5,90;3217013,20;2005220,42;4684475,09
"110014 Nova Brasilândia D'Oeste";17698;2,35;329,31;63,24;1,45;6,90;3,85;2548070,94;2861571,70;5828114,86
"110033 Nova Mamoré";22337;4,19;234,51;67,73;2,65;5,24;3,49;2361537,51;3360216,13;5238216,68
"110143 Nova União";7944;2,54;235,54;68,78;6,38;10,30;0,62;886040,63;1162774,92;1871123,33
"110050 Novo Horizonte do Oeste";9720;2,14;258,85;75,26;4,25;6,42;6,05;1055918,21;1497909,70;2516012,10
"110015 Ouro Preto do Oeste";36725;9,91;263,82;81,13;7,95;5,28;2,27;5668743,78;4707743,87;9688926,11
"110145 Parecis";4802;4,42;318,97;59,74;5,65;12,14;0,00;436365,27;1180589,59;1531710,48
"110018 Pimenta Bueno";33984;11,26;291,25;71,03;5,56;4,60;5,26;4310291,80;5170628,23;9897785,44
"110146 Pimenteiras do Oeste";2415;1,13;657,49;73,08;1,82;4,13;0,37;347742,50;1267534,13;1587837,42
"110020 Porto Velho";382829;19,83;229,01;69,46;2,51;11,47;2,66;37212718,79;54768526,89;87671516,97
"110025 Presidente Médici";22519;5,86;265,27;70,71;4,47;8,30;2,02;3822475,63;2933973,77;5973552,01
"110147 Primavera de Rondônia";3765;1,61;445,64;61,61;5,37;6,52;6,45;716894,40;1047826,71;1677851,71
"110026 Rio Crespo";3290;2,71;472,69;72,86;6,11;2,58;1,32;383443,46;1219883,99;1555141,51
"110028 Rolim de Moura";50499;7,50;364,19;72,00;3,87;4,33;4,62;9023569,86;8485764,58;18391175,93
"110029 Santa Luzia D'Oeste";9348;4,34;304,76;69,48;5,49;9,74;6,36;1601558,33;1128948,12;2848920,05
"110148 São Felipe D'Oeste";6412;2,92;340,65;73,15;0,28;4,81;0,23;860883,04;1340015,93;2184253,97
"110149 São Francisco do Guaporé";16491;3,59;280,13;61,00;3,71;19,11;1,79;1527313,98;3057195,71;4619674,13
"110032 São Miguel do Guaporé";23201;4,00;227,11;78,77;2,19;4,99;3,50;1694723,15;2542526,97;5269229,48
"110150 Seringueiras";12117;3,06;281,15;72,93;7,57;6,07;0,28;1677093,36;2054707,29;3406692,47
"110155 Teixeirópolis";5010;1,77;344,44;52,36;2,78;25,50;9,84;708947,27;974477,37;1725656,39
"110160 Theobroma";10325;2,41;272,86;57,99;10,29;1,06;3,69;1226341,48;1573170,41;2817291,87
"110170 Urupá";13661;3,38;200,79;72,38;4,31;3,84;3,23;1239041,83;1551190,96;2742970,93
"110175 Vale do Anari";9100;2,17;224,26;73,31;0,00;5,03;0,45;797078,77;1345160,33;2040733,50
"110180 Vale do Paraíso";8913;3,71;267,44;70,29;2,22;4,37;1,16;895800,69;1289927,08;2383719,35
"110030 Vilhena";69866;14,89;397,08;63,29;4,22;2,78;3,96;14285379,45;14490558,87;27742376,35
"120001 Acrelândia";12241;2,51;223,26;61,10;7,60;18,94;0,18;1443664,13;1096324,11;2732886,79
"120005 Assis Brasil";5662;4,29;387,60;39,13;2,14;4,85;0,82;1541376,64;999343,45;2194607,33
"120010 Brasiléia";20238;2,27;194,17;58,38;14,76;2,12;0,26;2013422,72;1907572,53;3929596,84
"120013 Bujari";6772;1,97;171,99;42,97;14,86;4,41;0,43;476180,87;729255,28;1164709,14
"120017 Capixaba";9287;1,50;182,08;58,60;3,97;2,85;0,24;922300,36;776761,15;1690969,05
"120020 Cruzeiro do Sul";77004;9,42;154,01;58,84;10,97;3,80;7,12;6244021,52;5805971,70;11859308,62
"120025 Epitaciolândia";14224;4,07;176,32;32,64;9,52;4,62;1,72;1403246,44;1177026,68;2508024,58
"120030 Feijó";32261;14,05;162,51;43,29;13,49;1,27;6,66;2803697,92;2216489,18;5242622,33
"120032 Jordão";6520;3,38;391,64;21,24;11,15;0,40;1,22;1435942,91;819013,55;2553486,51
"120033 Mâncio Lima";14774;1,73;193,80;37,38;9,22;9,66;5,07;1889841,29;1222090,66;2863143,98
"120034 Manoel Urbano";7505;19,38;345,86;53,84;5,64;2,71;0,72;1726570,03;1039141,97;2595701,86
"120035 Marechal Thaumaturgo";14275;1,88;265,89;30,86;2,82;4,19;1,43;1845961,14;1864587,36;3795612,60
"120038 Plácido de Castro";18235;1,90;221,63;60,96;9,66;4,73;1,75;2401970,16;2254221,34;4041458,86
"120080 Porto Acre";14682;3,77;212,21;50,04;15,45;3,58;1,71;1398903,60;1178589,86;3115674,07
"120039 Porto Walter";8855;1,65;317,72;30,77;11,03;4,92;2,55;1842752,25;780674,11;2813396,18
"120040 Rio Branco";305954;13,06;171,56;55,16;4,67;16,47;5,15;19228477,84;38021518,43;52488944,39
"120042 Rodrigues Alves";13460;1,19;131,29;43,53;8,34;18,97;10,39;946950,75;956651,97;1767208,90
"120043 Santa Rosa do Purus";4358;0,68;630,20;63,00;11,67;7,68;4,78;1825032,30;921379,70;2746412,00
"120050 Sena Madureira";36166;8,03;146,49;17,44;8,18;7,26;2,48;3818954,12;2508489,48;5297922,07
"120045 Senador Guiomard";19697;3,54;200,96;63,50;18,43;8,17;0,00;2027467,82;1805587,18;3958230,22
"120060 Tarauacá";33883;2,47;153,41;45,13;4,44;4,31;0,09;3476571,00;2555468,24;5197922,31
"120070 Xapuri";15079;1,93;173,44;32,00;12,82;9,70;19,55;1187454,09;1465516,55;2615257,88
"130002 Alvarães";13566;1,10;239,25;23,97;13,67;1,36;2,38;1794132,06;1856554,22;3245663,62
"130006 Amaturá";8828;2,25;212,26;69,28;1,53;0,54;1,14;1154847,77;1391816,94;1873788,79
"130008 Anamã";8673;26,50;281,38;35,79;0,36;1,46;7,85;584400,26;2209755,52;2440388,16
"130010 Anori";14688;4,35;184,57;50,82;2,03;4,87;0,24;911070,33;1807604,29;2711028,36
"130014 Apuí";18597;3,67;261,78;35,03;19,79;2,49;1,21;2052183,86;2765692,19;4868279,74
"130020 Atalaia do Norte";14715;1,80;317,29;82,11;6,09;0,04;0,10;2736513,50;1932451,65;4668965,15
"130030 Autazes";31774;3,24;218,61;87,23;3,04;1,30;0,30;4538231,08;2618675,95;6945967,96
"130040 Barcelos";25410;1,94;224,91;52,82;9,09;9,84;0,00;2580189,86;3146972,27;5715001,57
"130050 Barreirinha";28162;3,04;152,70;68,49;18,42;1,22;2,49;1908718,93;2391619,39;4300338,32
"130060 Benjamin Constant";31195;3,30;236,98;57,80;3,41;3,09;0,15;3926346,29;2904200,52;7392739,58
"130063 Beruri";14705;1,81;173,62;58,66;2,64;2,94;0,51;900636,11;1652476,46;2553112,57
"130068 Boa Vista do Ramos";13994;1,61;203,74;77,15;13,47;1,95;0,05;1122083,52;1732113,94;2851196,52
"130070 Boca do Acre";31221;4,54;185,14;75,10;1,04;2,82;0,46;3645084,59;2721338,93;5780166,28
"130080 Borba";32496;2,65;246,92;57,86;1,08;2,79;6,78;5026314,87;3279145,10;8024072,90
"130083 Caapiranga";11170;8,92;222,61;54,14;8,26;2,85;5,42;1208027,15;1564621,46;2486594,53
"130090 Canutama";11948;3,17;241,35;36,97;1,63;2,30;1,22;1010108,37;1991934,08;2883694,13
"130100 Carauari";26187;3,40;152,41;26,31;2,22;3,22;0,05;1107634,41;2819125,12;3991184,16
"130110 Careiro";32638;4,61;164,12;26,75;1,58;3,93;4,48;2765151,39;2686489,94;5356491,63
"130115 Careiro da Várzea";24704;2,62;157,73;65,31;1,83;1,87;2,69;2077152,04;2141534,49;3896460,84
"130120 Coari";66991;26,66;444,10;62,36;0,47;8,04;0,13;9344539,68;16703776,87;29750598,82
"130130 Codajás";16291;26,83;325,02;60,30;0,48;6,91;3,20;1430028,94;3998605,74;5294840,49
"130140 Eirunepé";30901;1,48;176,67;49,11;13,38;2,33;0,40;2277063,55;3397486,83;5459335,39
"130150 Envira";17614;3,09;194,41;50,91;1,76;1,62;0,38;1508309,59;2158689,43;3424397,99
"130160 Fonte Boa";18803;2,79;395,19;61,37;1,09;1,30;0,85;4024033,01;3078591,34;7430709,66
"130165 Guajará";15031;1,70;205,12;45,37;1,73;6,95;0,94;1168469,02;2025052,80;3083149,19
"130170 Humaitá";40735;5,70;267,78;31,52;16,25;13,45;1,78;5423941,78;5544067,20;10908111,15
"130180 Ipixuna";18202;1,75;223,86;50,26;1,73;1,65;1,56;1502896,03;2601438,56;4074703,16
"130185 Iranduba";33884;15,05;282,44;21,50;7,33;6,38;4,88;6066907,87;3458300,71;9570058,82
"130190 Itacoatiara";89440;5,92;245,76;77,62;7,13;3,93;2,94;13008047,50;6661428,91;21981119,58
"130195 Itamarati";8281;1,23;205,35;45,70;8,81;0,18;0,96;449602,77;1241109,72;1700483,37
"130200 Itapiranga";9733;3,24;206,15;68,33;1,86;2,63;0,09;805234,21;1372338,09;2006434,61
"130210 Japurá";4238;1,47;435,63;46,09;1,17;6,03;0,09;774468,97;1318419,47;1846183,60
"130220 Juruá";9275;0,77;186,05;57,48;12,73;9,27;0,00;549050,89;1218441,36;1725630,68
"130230 Jutaí";16791;1,25;268,32;33,84;1,56;5,56;3,24;2186648,59;2982880,54;4505437,37
"130240 Lábrea";39393;3,75;194,04;48,04;2,02;1,60;1,38;3719507,54;4333083,20;7643645,06
"130250 Manacapuru";86472;4,99;302,94;36,49;11,76;21,18;8,15;14388520,97;12396564,22;26195708,15
"130255 Manaquiri";20836;3,25;200,69;49,23;0,30;3,92;2,27;1695020,86;2079450,78;4181591,63
"130260 Manaus";1738641;23,33;223,30;80,35;0,66;6,53;0,66;86468804,32;314262148,78;388244022,42
"130270 Manicoré";46773;2,78;168,27;41,65;3,06;9,14;32,35;3902594,41;4346058,25;7870640,12
"130280 Maraã";18135;2,17;206,39;48,95;1,92;1,24;2,07;1647019,64;2062153,39;3742913,97
"130290 Maués";49666;3,79;254,91;24,84;11,32;1,17;1,00;6641992,57;6011142,48;12660419,92
"130300 Nhamundá";18474;2,46;189,10;50,29;26,20;2,87;5,96;1499562,69;1993884,17;3493446,86
"130310 Nova Olinda do Norte";31012;2,44;202,57;74,91;1,47;4,29;2,89;4245109,59;2271513,76;6281947,24
"130320 Novo Airão";15915;1,43;200,36;83,02;5,36;0,80;0,03;786998,43;2403292,16;3188759,16
"130330 Novo Aripuanã";18952;2,20;170,72;65,93;2,25;5,85;0,00;1356296,61;2006636,81;3235543,17
"130340 Parintins";107250;4,78;234,30;59,89;1,20;11,53;1,83;16015147,20;7580879,52;25129172,44
"130350 Pauini";19111;1,94;276,03;56,75;1,19;1,27;1,63;2870990,82;2216056,09;5275151,60
"130353 Presidente Figueiredo";26282;5,49;551,80;80,64;1,25;4,02;1,16;4059306,12;10989584,15;14502501,12
"130356 Rio Preto da Eva";26847;4,80;235,15;40,01;1,45;4,14;0,38;3747430,01;2419119,70;6313099,54
"130360 Santa Isabel do Rio Negro";18506;1,74;227,81;51,23;1,65;3,61;9,16;2149120,33;2048765,73;4215829,80
"130370 Santo Antônio do Içá";30351;2,12;157,88;52,66;2,94;3,46;1,02;2658429,79;2219202,47;4791724,98
"130380 São Gabriel da Cachoeira";41885;2,72;180,02;31,88;20,02;1,59;17,43;4090364,14;3237340,42;7540131,01
"130390 São Paulo de Olivença";32958;2,13;121,38;73,13;2,81;5,05;1,18;2243743,78;2475208,79;4000377,87
"130395 São Sebastião do Uatumã";9268;2,95;227,34;64,24;1,39;2,31;1,73;929381,22;1277831,47;2106986,54
"130400 Silves";8543;11,15;276,03;70,33;0,04;5,51;4,29;1075719,43;1426337,32;2358086,85
"130406 Tabatinga";47948;4,15;253,66;28,03;28,70;1,46;0,26;7717964,32;4124791,01;12162495,90
"130410 Tapauá";19884;2,56;268,02;51,25;2,93;1,39;37,41;2942242,88;2381153,60;5329316,90
"130420 Tefé";64671;3,19;230,77;49,03;14,44;8,61;2,78;10169431,45;5737309,93;14923987,68
"130423 Tonantins";20286;0,38;256,19;36,44;23,76;0,61;0,05;2576860,08;2541672,35;5197108,23
"130426 Uarini";10108;1,19;334,60;64,65;5,65;11,99;2,89;1730191,58;1157739,75;3382181,15
"130430 Urucará";15780;2,19;225,53;63,01;0,96;2,58;0,01;2009377,57;1954393,48;3558836,92
"130440 Urucurituba";18541;2,82;193,67;57,32;1,93;8,32;0,04;1824130,66;2187170,18;3590796,26
"140005 Alto Alegre";14205;4,13;283,78;69,47;2,20;1,89;6,14;2866585,52;924417,69;4031028,56
"140002 Amajari";8249;4,37;243,56;50,93;11,98;3,79;5,14;1360418,05;591463,92;2009089,13
"140010 Boa Vista";266901;8,94;322,82;86,84;3,88;2,11;0,89;28226755,59;61819386,16;86161690,92
"140015 Bonfim";10726;4,19;274,19;60,60;4,29;4,51;6,69;2126361,65;888544,61;2940965,65
"140017 Cantá";11942;5,98;242,68;65,90;2,15;2,82;0,54;1502875,21;818692,14;2898057,38
"140020 Caracaraí";19235;3,19;228,85;72,68;2,82;2,98;2,93;2430657,76;1909286,99;4402004,43
"140023 Caroebe";7569;2,45;288,95;70,38;4,57;4,88;1,35;1183725,23;957335,47;2187066,35
"140028 Iracema";6250;12,28;303,66;63,90;4,94;3,79;2,11;1240163,00;676923,00;1897900,00
"140030 Mucajaí";13188;2,04;198,91;80,72;2,43;2,03;1,24;1525336,82;975549,20;2623185,07
"140040 Normandia";7527;0,18;260,88;51,60;2,97;4,00;3,63;1667624,43;531943,12;1963638,41
"140045 Pacaraima";9220;1,25;336,57;69,77;0,74;1,57;16,12;1582996,76;1520206,66;3103203,42
"140047 Rorainópolis";26546;4,76;115,17;61,54;3,90;1,67;2,18;1656780,49;1261243,36;3057311,00
"140050 São João da Baliza";6028;3,68;260,36;65,44;4,58;5,45;1,78;735455,83;798197,30;1569472,33
"140060 São Luiz";5979;4,35;294,49;32,12;10,62;1,00;1,24;1030531,43;595283,94;1760751,94
"140070 Uiramutã";7934;1,22;235,06;37,20;5,36;13,20;16,86;1330178,88;573547,97;1865002,85
"150010 Abaetetuba";139819;3,05;159,04;41,63;4,00;13,53;1,45;16066678,14;6083386,19;22236538,44
"150013 Abel Figueiredo";6967;2,73;377,14;48,35;8,44;3,40;1,12;1421743,23;1142557,69;2627529,11
"150020 Acará";48501;4,59;182,22;64,44;7,44;9,16;1,30;5771247,60;2916447,24;8838032,93
"150030 Afuá";32633;2,32;128,11;53,70;11,08;5,36;0,70;2162951,11;2017811,56;4180762,67
"150034 Água Azul do Norte";31216;4,81;262,07;33,92;3,91;8,40;15,61;4567360,36;2451074,11;8180904,58
"150040 Alenquer";57067;1,80;95,05;63,70;13,05;5,82;0,30;2572702,58;2802454,17;5424269,71
"150050 Almeirim";31192;14,59;322,71;28,95;4,83;8,59;12,19;4477175,91;5477175,54;10066050,17
"150060 Altamira";98750;6,27;252,77;35,43;5,50;5,53;1,35;15227473,00;9710044,35;24960679,84
"150070 Anajás";27386;1,64;204,10;50,84;10,17;1,74;1,41;2301943,40;3287491,00;5589434,40
"150080 Ananindeua";505512;10,23;160,72;48,62;4,73;33,16;1,41;59956739,28;21115170,20;81244879,16
"150085 Anapu";20421;2,14;192,87;33,48;3,88;4,83;6,17;1106384,00;2228038,75;3938598,13
"150090 Augusto Corrêa";39317;2,01;154,32;35,43;7,48;6,24;2,65;3516185,78;2085529,90;6067435,91
"150095 Aurora do Pará";22315;1,00;175,95;54,87;18,98;7,61;1,61;1743130,92;1849367,29;3926431,38
"150100 Aveiro";20266;1,82;160,76;44,88;9,65;1,91;3,13;1400955,37;1610511,33;3258028,43
"150110 Bagre";20386;2,25;141,29;37,96;8,04;6,88;1,94;1078982,48;1510314,48;2880411,34
"150120 Baião";28299;1,74;190,02;39,30;4,24;4,02;1,88;2865008,93;1759350,44;5377455,77
"150125 Bannach";3947;4,71;530,96;47,88;16,54;11,25;1,44;1264200,53;969566,50;2095710,17
"150130 Barcarena";92567;17,06;312,09;66,80;5,71;6,06;1,26;10123814,01;18536652,86;28889546,64
"150140 Belém";1437600;18,64;315,87;41,06;1,17;46,19;0,53;293112287,75;160609386,10;454094325,47
"150145 Belterra";12671;4,45;280,01;51,38;2,45;1,72;0,29;2047830,00;1486000,00;3548059,24
"150150 Benevides";46611;4,17;192,05;44,87;5,88;6,38;4,85;5622469,73;4953250,17;8951843,70
"150157 Bom Jesus do Tocantins";13593;9,09;372,54;28,41;16,87;23,18;0,31;3487431,67;1377896,21;5063933,70
"150160 Bonito";12013;2,16;201,30;49,92;6,34;4,17;21,45;1351069,18;1003017,22;2418216,01
"150170 Bragança";107060;3,53;128,60;54,31;8,62;11,32;11,56;8983278,07;4293306,25;13768209,44
"150172 Brasil Novo";19754;3,69;192,64;37,07;4,10;9,08;8,73;2129607,01;2183297,45;3805317,40
"150175 Brejo Grande do Araguaia";7688;3,23;393,85;20,97;11,58;0,97;19,59;1983467,19;1041662,25;3027904,88
"150178 Breu Branco";52200;4,05;173,23;55,26;6,24;5,16;4,21;3182284,32;5855195,81;9042789,35
"150180 Breves";101094;1,24;177,20;51,83;9,41;13,46;1,07;11882820,39;5474205,52;17914063,81
"150200 Cachoeira do Arari";20411;2,57;108,53;34,59;31,64;2,17;5,28;931460,97;1474778,96;2215129,87
"150195 Cachoeira do Piriá";18777;2,29;191,51;37,19;7,27;3,25;2,26;1407471,15;1807164,24;3596018,85
"150210 Cametá";117099;1,18;131,07;48,99;1,61;27,24;1,00;11358457,55;3733546,77;15348182,62
"150215 Canaã dos Carajás";27675;12,92;571,65;72,89;3,98;5,81;3,40;2262738,69;11842801,13;15820359,02
"150220 Capanema";64429;6,12;263,91;25,13;3,87;39,62;5,33;12632184,05;4296564,72;17003321,69
"150230 Capitão Poço";52797;2,27;123,87;49,31;21,12;7,12;10,74;3403873,88;3345771,65;6539943,69
"150240 Castanhal";161497;8,39;247,77;45,38;4,17;44,61;0,72;26557672,12;18000000,00;40013519,29
"150260 Colares";11433;1,72;91,23;26,08;11,70;19,65;0,00;1367959,59;1043000,00;1043000,00
"150270 Conceição do Araguaia";47237;2,01;236,02;54,40;2,64;25,97;3,59;6456213,60;3578093,43;11148741,99
"150275 Concórdia do Pará";22251;1,77;195,92;48,36;3,96;9,14;1,18;2584300,98;1614459,01;4359460,83
"150276 Cumaru do Norte";11890;4,29;388,84;30,44;3,99;9,10;16,51;1871810,11;2028163,41;4623296,39
"150277 Curionópolis";17944;2,86;241,34;49,64;5,31;3,62;11,37;1657775,63;2329338,40;4330526,99
"150280 Curralinho";27543;0,87;120,25;78,61;3,26;0,51;0,00;1707304,70;1604775,60;3312080,30
"150285 Curuá";12984;0,15;161,16;39,92;12,51;7,58;12,79;785550,94;1078577,89;2092544,66
"150290 Curuçá";36748;0,90;166,71;71,36;3,80;2,99;2,61;3257965,90;2473001,12;6126142,91
"150293 Dom Eliseu";39088;5,72;189,90;48,59;2,21;9,99;2,71;4360265,97;3030542,92;7422786,17
"150295 Eldorado dos Carajás";29251;4,07;224,98;34,59;5,26;10,37;1,71;3066985,36;3095967,97;6581035,10
"150300 Faro";19585;1,39;121,18;48,46;24,03;0,51;0,00;903712,55;1468807,01;2373402,48
"150304 Floresta do Araguaia";15629;1,79;219,97;36,82;8,71;2,81;1,63;1565101,79;1458511,42;3437976,76
"150307 Garrafão do Norte";25538;0,96;149,49;49,89;4,55;2,93;3,60;1562181,51;1841183,72;3817628,44
"150309 Goianésia do Pará";29164;1,37;193,41;58,62;17,09;5,58;0,45;2929764,79;2820325,83;5640651,66
"150310 Gurupá";25511;2,05;174,77;10,39;18,39;1,87;13,74;2003534,12;2382546,48;4458568,60
"150320 Igarapé-Açu";35241;2,95;162,49;42,26;4,38;5,08;1,88;3121013,45;2316681,86;5726194,20
"150330 Igarapé-Miri";57003;1,65;161,54;54,10;2,95;6,93;2,41;6776562,98;2789654,21;9208523,36
"150340 Inhangapi";10377;1,51;169,59;29,44;5,68;12,27;14,21;900231,86;900000,00;1759807,00
"150345 Ipixuna do Pará";44396;7,68;135,68;53,16;20,64;11,31;1,28;2067928,72;3747814,89;6023776,58
"150350 Irituia";30552;2,08;192,07;37,54;3,61;4,16;1,75;3187135,42;2734310,98;5868105,16
"150360 Itaituba";127848;6,67;135,29;68,31;6,52;5,63;0,80;8464693,00;7895171,16;17296146,07
"150370 Itupiranga";41541;3,02;229,83;53,26;4,01;10,41;1,96;5239624,25;3609535,77;9547248,17
"150375 Jacareacanga";41487;2,18;117,24;31,84;21,77;5,34;1,45;2197782,11;2961192,21;4863938,94
"150380 Jacundá";55900;1,04;145,63;74,97;11,03;7,32;1,34;2771747,72;5366394,15;8140696,31
"150390 Juruti";35530;60,04;457,96;53,19;5,41;9,21;16,72;4542507,71;11741153,23;16271210,77
"150400 Limoeiro do Ajuru";24967;2,68;205,17;41,76;4,84;2,82;2,70;2649566,71;2101636,10;5122460,92
"150405 Mãe do Rio";29087;2,09;152,74;61,35;3,32;9,11;1,05;2136057,52;2243843,91;4442611,29
"150410 Magalhães Barata";7895;3,60;289,04;23,33;10,36;3,75;0,04;556992,14;1725905,82;2281941,71
"150420 Marabá";203049;14,59;295,89;64,33;4,08;19,26;1,21;30988304,54;29963839,95;60079909,99
"150430 Maracanã";29417;2,49;203,87;32,30;7,15;7,27;0,80;3562233,94;2255740,53;5997374,04
"150440 Marapanim";28011;0,05;141,35;66,77;1,85;4,84;1,41;2140268,28;1966459,06;3959387,07
"150442 Marituba";101158;3,81;267,76;50,30;15,27;25,59;0,85;17767949,08;8148702,21;27086209,38
"150445 Medicilândia";23682;2,78;223,02;41,49;6,27;5,65;7,54;2787182,48;1862007,69;5281525,73
"150450 Melgaço";17657;0,70;210,07;49,39;15,25;5,43;4,32;2255507,77;1488765,04;3709158,05
"150460 Mocajuba";24695;1,86;183,90;39,36;11,74;2,72;1,57;2493170,38;1804734,15;4541408,88
"150470 Moju";68600;2,58;176,26;49,09;7,00;4,29;5,16;8229614,93;3598600,78;12091645,79
"150480 Monte Alegre";63941;3,05;194,92;71,52;3,85;7,37;1,88;7396603,68;3287344,56;12463590,40
"150495 Nova Esperança do Piriá";24062;2,57;155,21;48,17;13,34;6,28;0,50;1974225,22;2060438,79;3734766,16
"150497 Nova Ipixuna";15097;4,32;221,04;63,28;8,04;13,06;3,51;1739277,08;1597700,47;3336977,55
"150500 Nova Timboteua";12677;1,08;211,58;56,20;8,78;6,00;3,23;1389646,62;1125525,92;2682165,46
"150503 Novo Progresso";21504;6,27;315,56;30,22;19,91;4,65;2,14;4024825,49;2942812,35;6785700,56
"150506 Novo Repartimento";55762;1,22;244,12;73,49;0,91;5,88;3,31;4156314,58;9571541,52;13612609,56
"150510 Óbidos";48429;2,11;121,53;60,96;3,08;8,98;0,30;2867620,90;2914418,04;5885383,06
"150520 Oeiras do Pará";26796;0,53;141,26;58,44;9,78;2,83;1,52;1543459,21;2244488,87;3785264,67
"150530 Oriximiná";58683;9,23;314,71;55,70;2,75;13,77;1,09;4537647,93;12712431,68;18468033,81
"150540 Ourém";15841;1,94;290,39;43,26;1,72;13,95;5,50;2859116,72;1750847,06;4600060,02
"150543 Ourilândia do Norte";21327;55,82;519,29;39,07;2,72;26,90;16,71;4600307,15;7641460,22;11074801,44
"150548 Pacajá";41953;1,38;133,51;57,82;17,38;2,99;4,73;2107262,80;2653393,53;5600985,68
"150549 Palestina do Pará";7301;6,05;389,34;30,07;6,59;6,13;4,09;1461682,74;1429730,17;2842593,71
"150550 Paragominas";97350;10,27;235,05;61,30;6,02;8,90;4,73;11970029,66;10539253,70;22881732,19
"150553 Parauapebas";152777;16,35;336,10;70,02;0,37;11,71;1,61;14072450,91;35907067,62;51348684,42
