Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2017
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";25437;5,26;575,94;78,69;0,00;3,24;2,76;5265212,06;9291856,16;14650294,84
"110037 Alto Alegre dos Parecis";14045;2,70;559,09;69,69;1,99;4,75;8,72;3414685,18;4582796,26;7852401,20
"110040 Alto Paraíso";20916;4,23;337,30;77,03;3,94;2,83;6,84;3384872,79;4366600,09;7055014,28
"110034 Alvorada D'Oeste";16747;4,28;569,95;66,90;1,45;5,24;10,41;3092226,75;6180474,71;9544885,00
"110002 Ariquemes";107345;13,23;532,87;77,48;0,00;3,83;3,89;23843297,61;32611516,42;57201254,97
"110045 Buritis";39044;6,32;338,43;67,75;2,23;9,99;8,39;6498457,32;6218740,08;13213720,15
"110003 Cabixi";6224;4,07;869,20;65,72;4,76;3,89;0,88;1688783,66;4002602,31;5409886,71
"110060 Cacaulândia";6460;3,36;713,70;61,63;1,47;5,65;7,39;1350866,52;3170110,32;4610482,95
"110004 Cacoal";88507;18,80;491,40;56,10;3,65;18,19;7,25;19037394,65;24020401,69;43491930,32
"110070 Campo Novo de Rondônia";14484;3,76;587,58;77,86;2,54;4,98;3,09;2716898,73;5424530,30;8510542,77
"110080 Candeias do Jamari";25266;6,66;475,15;75,42;4,92;8,60;3,56;3648044,44;6991781,80;12005108,30
"110090 Castanheiras";3550;1,99;857,19;81,67;0,80;2,62;0,00;878676,56;2545178,25;3043037,14
"110005 Cerejeiras";17934;8,46;664,05;49,66;0,00;4,38;6,48;4839075,58;6967357,20;11909118,60
"110092 Chupinguaia";10593;5,17;784,12;66,55;2,74;2,49;12,25;1638151,03;6329359,26;8306181,31
"110006 Colorado do Oeste";18467;7,23;556,33;72,52;4,09;4,06;3,47;3810540,37;6606297,68;10273679,17
"110007 Corumbiara";8659;5,05;699,87;78,14;0,29;3,83;0,68;1553997,43;4985060,92;6060149,90
"110008 Costa Marques";17400;4,31;331,41;77,47;5,41;1,88;0,32;2596040,45;3377000,00;5766604,79
"110094 Cujubim";22443;3,22;342,53;64,84;0,69;2,45;4,22;3024153,95;4069785,79;7687462,29
