Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2014
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";25652;4,72;537,33;68,48;4,00;5,21;7,35;5474637,66;7895057,75;13783562,31
"110037 Alto Alegre dos Parecis";13884;3,28;451,05;62,65;0,00;3,08;4,83;2764541,95;3256148,69;6262324,22
"110040 Alto Paraíso";19841;4,53;343,07;70,49;4,74;5,95;3,99;2202823,95;4309869,31;6806919,35
"110034 Alvorada D'Oeste";17228;3,94;458,69;66,59;0,00;5,80;4,90;2747342,77;4780168,56;7902397,10
"110002 Ariquemes";102860;13,01;461,61;66,66;4,94;5,17;9,89;22403138,26;26777575,13;47481678,41
"110045 Buritis";37207;7,34;343,73;60,48;0,00;13,64;10,88;4908008,89;5777374,51;12789038,06
"110003 Cabixi";6424;4,62;701,79;66,71;6,23;4,68;8,20;1663954,96;2832347,20;4508278,18
"110060 Cacaulândia";6318;7,10;752,31;60,86;1,45;19,65;5,96;1478816,96;2651078,41;4753095,96
"110004 Cacoal";86556;16,77;453,53;62,18;2,95;14,48;7,19;19749794,74;19666899,21;39255979,87
"110070 Campo Novo de Rondônia";14081;2,75;524,04;69,39;1,95;3,36;14,64;3300446,76;3590703,64;7379067,72
"110080 Candeias do Jamari";23573;14,68;430,05;70,93;0,77;9,86;6,39;3253231,26;6695667,15;10137620,47
"110090 Castanheiras";3653;6,26;1059,88;58,92;3,80;3,19;17,36;914161,37;2438278,64;3871737,23
"110005 Cerejeiras";18013;7,91;1123,22;25,61;3,14;3,65;49,84;4165797,60;6513578,85;20232608,94
"110092 Chupinguaia";9887;9,99;702,33;71,55;0,00;2,10;5,25;1511850,09;5467386,15;6943901,43
"110006 Colorado do Oeste";19001;10,17;517,46;60,12;5,86;4,05;17,63;3884958,82;5040000,87;9832286,05
"110007 Corumbiara";8938;4,78;611,70;66,85;0,00;8,00;7,22;1480523,70;4024036,26;5467412,02
"110008 Costa Marques";16258;2,66;243,18;68,68;5,87;6,58;0,00;3716699,81;2533573,28;3953573,28
"110094 Cujubim";20204;2,52;306,31;67,82;0,68;6,12;6,20;1782418,34;4642277,87;6188597,87
"110009 Espigão D'Oeste";32047;6,61;381,04;63,41;5,35;9,21;7,59;4232355,87;7877833,24;12211348,57
"110100 Governador Jorge Teixeira";10327;3,05;682,97;59,45;0,91;3,35;19,81;3746183,32;3228284,77;7052990,79
"110010 Guajará-Mirim";46203;6,77;580,25;58,41;0,00;17,57;9,10;8981300,04;15379695,39;26809188,20
"110110 Itapuã do Oeste";9831;9,60;445,52;60,02;0,18;6,13;7,76;1284460,20;2749757,64;4379928,69
"110011 Jaru";55669;8,00;385,42;66,63;4,83;7,27;7,16;9937196,88;10662264,60;21456013,72
"110012 Ji-Paraná";129242;16,01;414,92;63,81;5,57;16,72;3,65;26903225,31;24113526,83;53624957,88
"110013 Machadinho D'Oeste";36412;4,86;407,19;48,82;1,37;3,98;21,59;5994329,83;5305464,04;14826639,63
"110120 Ministro Andreazza";10860;3,33;450,68;66,60;0,00;5,81;12,63;1895197,38;2678772,37;4894388,78
"110130 Mirante da Serra";12414;2,53;355,61;76,06;0,00;5,60;7,86;2298895,66;1971033,02;4414595,92
"110140 Monte Negro";15710;4,83;515,07;64,29;1,93;8,07;1,73;2884566,32;4030120,63;8091745,36
