Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2012
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";24069;5,35;496,90;74,63;5,40;3,73;3,55;5413992,77;6323278,53;11960006,33
"110037 Alto Alegre dos Parecis";12833;2,40;445,54;68,53;1,23;9,57;1,60;3167967,37;3328163,11;5717609,26
"110040 Alto Paraíso";17742;4,09;433,78;63,70;3,16;4,50;17,37;2967660,93;4219082,82;7696212,10
"110034 Alvorada D'Oeste";16404;4,13;417,62;60,27;4,34;10,49;8,35;3282992,13;3382462,47;6850679,74
"110002 Ariquemes";92747;12,94;419,94;71,35;2,18;10,97;3,26;16101282,77;21534181,11;38948615,18
"110045 Buritis";33397;4,76;272,07;62,44;13,12;18,82;2,86;4652492,08;4395525,96;9086224,21
"110003 Cabixi";6132;5,30;608,84;72,61;2,60;5,04;8,21;1435950,37;2485365,55;3733386,80
"110060 Cacaulândia";5791;3,39;569,83;70,44;2,98;9,82;0,52;2594282,03;2324517,38;3299908,15
"110004 Cacoal";79330;14,67;393,95;71,50;0,93;12,97;2,84;15124228,57;15422303,25;31252084,61
"110070 Campo Novo de Rondônia";12847;2,75;398,43;68,43;1,67;3,08;8,42;2847969,10;2652652,89;5118689,47
"110080 Candeias do Jamari";20787;4,87;412,87;64,56;3,69;10,74;3,82;3714865,86;5119212,89;8582398,65
"110090 Castanheiras";3479;5,46;898,78;56,32;7,01;2,51;24,31;876191,16;1608218,06;3126845,65
"110005 Cerejeiras";16852;6,42;536,34;50,74;5,15;3,90;10,66;3321490,96;4059153,41;9038323,42
"110092 Chupinguaia";8721;6,08;692,27;68,74;2,23;4,98;15,17;1121967,41;4802859,07;6037293,13
"110006 Colorado do Oeste";18093;7,80;399,33;72,84;5,23;9,35;0,77;2930611,47;4420947,65;7225151,02
"110007 Corumbiara";8530;4,38;518,17;76,49;0,19;3,98;6,80;957794,53;3374657,53;4419988,68
"110008 Costa Marques";14355;3,44;365,30;56,68;2,10;3,98;13,54;2005370,32;3088276,66;5243950,41
"110094 Cujubim";17262;3,43;334,42;68,27;3,71;6,89;5,49;2324540,89;3827455,06;5772732,17
"110009 Espigão D'Oeste";29189;6,47;412,01;71,10;4,18;11,23;1,71;3582739,43;8415619,63;12026228,40
"110100 Governador Jorge Teixeira";10040;2,94;496,04;71,11;2,58;4,72;4,96;2615415,17;2463077,94;4980205,23
"110010 Guajará-Mirim";42202;8,42;455,30;63,71;5,92;11,84;0,93;9915111,61;9745724,79;19214442,07
"110110 Itapuã do Oeste";8830;6,16;507,89;46,92;3,53;8,35;9,83;972750,48;2966421,66;4484629,51
"110011 Jaru";51765;8,51;392,29;69,25;4,68;11,06;2,75;8400109,95;10905406,10;20306777,78
"110012 Ji-Paraná";118092;14,73;394,83;63,26;4,36;17,52;3,60;24567798,25;23171678,63;46625875,15
"110013 Machadinho D'Oeste";32403;4,27;283,64;66,35;5,92;5,35;9,89;7314716,02;3531601,57;9190939,46
"110120 Ministro Andreazza";10203;2,28;400,85;62,67;1,52;5,17;8,17;1640327,09;2025262,21;4089832,59
