Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2011
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";24228;4,70;463,51;73,89;2,91;4,38;4,08;5907594,72;5655376,88;11230006,34
"110037 Alto Alegre dos Parecis";12824;1,84;395,54;56,05;3,58;23,18;5,99;2866435,87;2572898,44;5072367,97
"110040 Alto Paraíso";17443;4,02;299,95;77,18;3,01;7,14;2,81;2223646,97;3205950,94;5232012,38
"110034 Alvorada D'Oeste";16624;5,21;320,78;62,22;5,61;7,91;5,94;2576319,97;3012239,83;5332602,87
"110002 Ariquemes";91570;11,98;363,66;71,37;3,25;10,36;1,77;15608255,80;18891076,48;33300120,31
"110045 Buritis";32898;5,28;297,56;50,32;0,36;17,46;20,89;4769486,89;4238391,68;9789015,51
"110003 Cabixi";6221;3,20;437,76;76,34;3,78;4,46;0,50;1115014,02;1836852,28;2723323,87
"110060 Cacaulândia";5764;3,75;515,95;71,09;2,79;5,35;9,04;1675911,08;1911382,28;2973910,90
"110004 Cacoal";78958;11,48;344,38;70,91;2,39;12,33;2,46;18995438,45;12046039,24;27191752,85
"110070 Campo Novo de Rondônia";12757;3,65;281,39;68,41;5,32;4,15;4,18;2319623,53;1888799,91;3589665,56
"110080 Candeias do Jamari";20291;4,67;341,50;64,31;2,83;8,87;11,78;3968683,39;4064498,04;6929450,37
"110090 Castanheiras";3526;7,16;639,90;69,59;1,09;4,85;11,45;672905,81;1514452,27;2256277,86
"110005 Cerejeiras";16939;6,63;391,94;53,04;12,76;4,26;2,60;3126619,27;3786006,53;6638997,68
"110092 Chupinguaia";8514;5,41;632,09;69,35;9,00;2,94;13,19;931284,16;4570245,97;5381633,20
"110006 Colorado do Oeste";18338;6,48;321,99;74,39;4,69;4,27;2,48;3094546,48;3044109,45;5904619,79
"110007 Corumbiara";8654;5,37;444,35;74,66;1,55;3,81;9,35;1013443,43;3141235,50;3845377,88
"110008 Costa Marques";14022;4,49;616,56;62,95;9,89;13,83;0,00;1668097,55;6977263,18;8645360,73
"110094 Cujubim";16569;3,92;332,68;68,01;11,49;3,63;6,09;1660517,64;3443061,02;5512094,18
"110009 Espigão D'Oeste";28962;6,28;321,56;71,25;2,96;6,25;4,70;4669457,63;6497275,29;9312989,30
"110100 Governador Jorge Teixeira";10272;2,96;434,33;69,21;1,62;6,79;5,08;2060279,84;2778441,38;4461473,15
"110010 Guajará-Mirim";41933;7,42;384,77;72,82;0,84;12,06;1,69;9079428,06;10366440,16;16134376,47
"110110 Itapuã do Oeste";8700;4,17;381,16;58,87;1,04;9,65;0,66;1244604,72;2243501,01;3316075,31
"110011 Jaru";51883;7,63;336,63;67,70;1,78;8,91;0,95;7798125,55;9697914,61;17465372,08
"110012 Ji-Paraná";117363;13,35;341,82;67,38;3,20;18,73;0,70;24595581,37;21078876,78;40116662,30
"110013 Machadinho D'Oeste";31779;4,52;294,64;60,00;1,25;5,55;20,59;5465346,59;3655536,66;9363311,50
"110120 Ministro Andreazza";10276;3,16;334,12;76,57;2,81;4,89;1,37;1318636,29;2137137,04;3433425,88
"110130 Mirante da Serra";11780;7,20;314,74;80,18;6,23;4,87;1,16;2112490,76;1930178,73;3707628,20
"110140 Monte Negro";14203;3,52;455,94;60,61;0,59;7,82;7,36;3277763,22;3156972,10;6475768,32
"110014 Nova Brasilândia D'Oeste";19882;3,52;331,20;66,93;3,70;6,80;2,01;2938785,82;3526148,27;6584838,53
"110033 Nova Mamoré";23142;4,92;349,43;53,74;2,94;3,99;27,44;4498581,90;4365792,70;8086495,11
"110143 Nova União";7436;7,16;442,36;52,80;1,95;6,70;12,72;1032409,21;2164431,69;3289417,41
"110050 Novo Horizonte do Oeste";10084;2,70;340,52;70,84;2,37;7,95;0,80;2046343,95;2098406,75;3433823,98
"110015 Ouro Preto do Oeste";37701;8,24;308,94;81,64;2,80;4,93;0,69;7131710,73;5229320,86;11647495,01
"110145 Parecis";4901;3,34;503,36;60,03;3,68;9,26;7,93;642584,27;1708958,85;2466948,82
"110018 Pimenta Bueno";33981;11,77;373,02;73,27;4,18;10,77;3,22;5626082,05;9079174,29;12675640,21
"110146 Pimenteiras do Oeste";2299;1,14;944,89;64,79;3,78;6,10;11,10;406079,92;1948742,96;2172302,55
"110020 Porto Velho";435732;26,81;324,66;74,82;1,13;10,14;2,28;69131929,00;97457131,09;141466790,71
"110025 Presidente Médici";22008;6,96;400,68;66,20;4,31;5,78;8,45;5464887,94;3850796,29;8818189,99
"110147 Primavera de Rondônia";3464;2,21;783,54;51,05;1,56;10,17;23,08;1077241,37;1295016,86;2714179,40
"110026 Rio Crespo";3345;2,53;706,63;67,81;12,76;3,92;14,56;853356,55;1659447,13;2363662,00
"110028 Rolim de Moura";50899;10,11;593,98;55,39;4,66;4,17;24,82;9941863,62;13788814,19;30233178,15
"110029 Santa Luzia D'Oeste";8677;5,60;439,20;77,04;0,95;6,46;0,85;1637406,87;2472969,44;3810946,79
"110148 São Felipe D'Oeste";5938;2,15;502,83;58,17;4,53;5,33;11,65;1412655,97;1611812,35;2985825,49
