Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2019
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110175 Vale do Anari";11028;4,41;581,14;76,50;0,00;16,97;0,17;2097825,26;3877225,39;6408806,49
"110180 Vale do Paraíso";6998;3,66;812,60;70,27;2,39;3,23;4,88;2939540,29;3318229,10;5686565,99
"110030 Vilhena";97448;13,58;886,30;50,09;5,19;12,66;5,78;45880570,90;37919115,94;86367813,72
"120001 Acrelândia";15020;3,70;407,44;61,99;1,98;10,78;10,80;3791354,66;2460366,46;6119747,96
"120005 Assis Brasil";7300;3,25;704,02;46,44;11,16;12,51;7,74;2543494,30;1993910,01;5139351,65
"120010 Brasiléia";25848;4,88;503,76;45,60;5,41;10,18;9,78;6918794,22;5118784,31;13021281,70
"120013 Bujari";10111;2,71;689,11;28,56;0,00;30,92;10,29;3639816,11;1775593,76;6967578,98
"120017 Capixaba";11456;3,01;598,54;43,23;3,85;11,60;12,10;3738282,14;2228562,62;6856883,58
"120020 Cruzeiro do Sul";87673;6,19;366,57;52,54;5,26;3,38;4,58;24801755,12;11712895,98;32138451,60
"120025 Epitaciolândia";18122;4,69;452,24;47,76;4,76;13,09;11,04;5724618,12;2975939,40;8195473,96
"120030 Feijó";34675;6,13;266,99;57,61;8,04;15,35;4,68;6652974,79;4006638,64;9257787,20
"120032 Jordão";8159;2,32;531,59;44,59;0,00;11,49;8,28;2768202,72;1903255,07;4337242,24
"120033 Mâncio Lima";18638;2,34;470,15;53,82;8,48;5,52;13,39;7669156,46;2958804,64;8762639,43
"120034 Manoel Urbano";9336;3,83;469,92;53,78;7,80;11,69;14,30;2615422,64;1953199,19;4387181,29
"120035 Marechal Thaumaturgo";18430;1,85;535,70;32,80;8,86;4,35;38,48;7446531,50;2818685,70;9872931,69
"120038 Plácido de Castro";19565;3,01;572,59;65,22;3,12;5,84;2,32;5800259,70;3826817,55;11202754,20
"120080 Porto Acre";18180;3,16;456,44;60,09;0,00;8,45;7,60;4075444,11;3036776,91;8298014,77
"120039 Porto Walter";11720;1,27;407,63;51,09;4,35;12,12;2,17;3736900,93;2088154,52;4777406,13
"120040 Rio Branco";401155;12,81;357,32;66,21;5,76;14,71;3,29;49174671,28;102599597,48;143339428,04
"120042 Rodrigues Alves";18504;1,28;653,39;33,33;1,37;4,76;34,40;9329392,26;3292000,75;12090284,32
"120043 Santa Rosa do Purus";6362;1,21;495,51;58,44;2,10;4,94;9,45;1466372,96;1690393,00;3152437,93
"120050 Sena Madureira";45177;4,03;451,80;34,69;5,35;18,08;22,14;15126088,77;5859980,11;20411092,06
"120045 Senador Guiomard";22810;4,17;378,53;62,65;19,67;7,73;1,53;4272774,31;3817924,30;8634251,47
"120060 Tarauacá";41976;3,83;320,40;59,34;8,63;10,06;5,46;8491855,97;5230606,22;13448981,00
"120070 Xapuri";19048;4,13;492,98;47,11;6,50;24,42;7,23;4472164,39;3726568,39;9390332,84
"130002 Alvarães";15860;1,20;252,98;79,59;0,00;0,00;0,00;5933729,34;3401856,95;4012227,42
"130006 Amaturá";11332;1,97;908,94;28,61;1,62;20,39;29,47;4470912,93;3938564,79;10300154,75
"130008 Anamã";13269;1,46;576,07;18,01;4,74;18,19;12,58;4343279,14;3217232,56;7643881,37
"130010 Anori";20538;2,11;705,00;33,16;14,72;7,36;19,50;8414296,35;3873459,26;14479382,37
"130014 Apuí";21583;2,86;651,54;31,15;9,69;5,31;12,36;9296104,46;4594052,82;14062231,13
"130020 Atalaia do Norte";19438;2,43;535,67;67,24;0,00;8,40;0,00;8323397,24;4030877,34;10412294,46
